"","df_factors","Latitude","Altitude","Rainfall","Frosts","Year","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"235","jo",-41.2,160,1000,-3,1981,1595,8,4.9,88,3.5,1.5,4,4,4,"0"
"680","te",-39.7166666666667,150,900,-2,1986,2768,32.09,12.03,51.2423301468993,2.8120545381865,2.68667624087733,2.76122788686386,3.11018810090306,2.65856303170921,"0"
"637","ov",-40.95,180,1080,-3,1981,2571,23.55,14.36,37,4,2,3,3.5,2,"1"
"558","nd",-41.2666666666667,300,1200,-3,1982,1595,16.54,7.23,100,3,2.5,3,4,2,"1"
"173","fa",-40.95,180,1080,-3,1981,1482,11.03,6.25,38,3.5,3.5,3,2.5,2,"0"
"353","fa",-40.6,150,1250,-3,1983,2548,22.6,12.61,63,3.5,3,2,2,1.5,"0"
"83","fa",-39.8333333333333,70,1000,-2,1981,1978,14.6,11.1,100,4,3,3.5,3.5,3.3,"1"
"488","fr",-41.1333333333333,220,1050,-2,1983,2552,14.25,7.23,63,4,3,3,2.8,2,"0"
"407","fr",-40.95,180,1080,-3,1983,2552,10.39,8.66,38,3,3.5,3,4,3,"0"
"324","ov",-40.95,180,1080,-3,1982,1259,7.65,8.24,25,2,2,4,4,4,"0"
"208","re",-40.95,180,1080,-3,1981,1787,3.77,4.88,88,4,3.5,4,4,4,"1"
"617","fa",-40,150,1300,-2,1983,2548,26.51,7.66,10,2.5,3,3,3,3,"0"
"185","re",-40.95,180,1080,-3,1981,1787,11.58,8.37,63,4,3.5,4,4,3.5,"1"
"656","re",-40.95,180,1080,-3,1981,2431,10.25,10.02,36,3,3,4,4.5,3.5,"0"
"383","re",-40.6,150,1250,-3,1983,2550,23.1,18.59,63,4,3.5,3.3,3.3,3,"1"
"631","co",-40.95,180,1080,-3,1981,2562,7.99,5.49,17,2,3,2.5,3.3,3,"0"
"253","re",-41.2,160,1000,-3,1981,2430,13,10.4,4,3,3.5,2.5,2,4,"0"
"180","ob",-40.95,180,1080,-3,1981,1337,8.63,8.21,100,4,3,3.5,3.5,3.5,"1"
"464","ni",-41.1333333333333,220,1050,-2,1983,2568,20.29,9.27,88,2,2.5,3,3,2,"0"
"162","si",-40.95,180,1080,-3,1981,2435,14.93,9.39,63,4,3,3,2.5,2.5,"1"
"221","fr",-41.2,160,1000,-3,1981,1786,18.9,11.8,75,5,3,2.5,2.5,2,"0"
"163","rd",-40.95,180,1080,-3,1981,1524,3.21,3.72,50,1.5,2,2,4,4,"0"
"716","nd",-39.7166666666667,150,900,-2,1986,3068,29.76,13.55,49.0365561162802,2.78514327516215,2.67192307289977,2.74395024057622,3.1367366793951,2.64803807410134,"0"
"454","fr",-41.1333333333333,220,1050,-2,1983,2552,18.88,9.59,75,3,3,3,3.3,3,"1"
"444","nd",-41.1333333333333,220,1050,-2,1983,1596,16.18,7.67,88,3.5,3,2.5,4,3,"1"
"167","bxs",-40.95,180,1080,-3,1981,1111,6.29,4.62,100,3,2.5,2,2,2.5,"0"
"623","nd",-40,150,1300,-2,1983,2634,40.22,18.22,10,4,4.5,3,3.5,2,"1"
"190","ag",-40.95,180,1080,-3,1981,1094,5.26,5.48,63,2,1.5,2,2,2,"0"
"161","re",-40.95,180,1080,-3,1981,1787,5.3,4.88,38,3.5,3,4,4,4,"1"
"291","fr",-40.95,180,1080,-3,1982,2552,1.82,2.43,13,1,2.5,3,3,3,"0"
"395","ob",-40.95,180,1080,-3,1983,2458,8.46,7.05,13,2,3,3,3,3,"0"
"673","nd",-39.7166666666667,150,900,-2,1986,1596,25.84,11.76,59.8580306732039,2.91711521539819,2.74424380653853,2.82865561106242,3.00639783911139,2.69961357539167,"0"
"618","fr",-40,150,1300,-2,1983,2552,14.24,7.12,10,2,3,3,4,4,"0"
"513","re",-41.2666666666667,300,1200,-3,1982,2432,8.92,6.14,75,2.5,3,4,4,3.5,"0"
"588","ob",-40,150,1300,-2,1983,2570,24.87,11.66,40,3.3,3.4,3.5,4.1,3.4,"1"
"621","nd",-40,150,1300,-2,1983,1596,33.81,10.93,10,3.3,4,3.3,4,2.7,"1"
"639","re",-40.95,180,1080,-3,1981,2431,17.08,10.25,7,2.5,3,3,3.5,3,"0"
"715","nd",-39.7166666666667,150,900,-2,1986,1596,30.15,13.73,59.8588290828341,2.91715212912811,2.74427827109383,2.82869118701875,3.00643453817225,2.69964738066269,"0"
"368","re",-40.6,150,1250,-3,1983,2574,24.4,20.33,75,4.5,3.5,3.3,3.2,2.8,"1"
"424","co",-40.95,180,1080,-3,1983,1,9.12,9.67,50,3,4,3,3,3,"0"
"472","am",-41.1333333333333,220,1050,-2,1983,1592,19.34,8.3,100,3.5,3.5,2.5,3.5,2.5,"1"
"482","ob",-41.1333333333333,220,1050,-2,1983,1522,17.84,8.83,88,3.5,3,3,3,2.7,"1"
"56","mn",-40.1833333333333,130,1000,-3,1980,1362,4.7,5.5,20,1,1.5,2,3,3,"0"
"25","ni",-39.6333333333333,100,850,-2,1980,2088,17.15,8.22,60,5,2.7,3.5,3,2,"1"
"709","am",-39.7166666666667,150,900,-2,1986,2770,15.23,6.96,51.2247770661504,2.8117430002468,2.68645446015613,2.7609853085939,3.11023340470611,2.65837177601742,"0"
"81","el",-39.8333333333333,70,1000,-2,1981,1338,15.8,10,38,3.5,3.5,3.3,3.5,3,"0"
"663","am",-39.7166666666667,150,900,-2,1986,3266,21.86,10,47.579395284108,2.76731971619769,2.66212801857562,2.73248715348576,3.15419718255722,2.64103476263258,"0"
"429","ni",-40.95,180,1080,-3,1983,2547,24.73,14.19,88,4.5,3,3,3,2.8,"1"
"222","nd",-41.2,160,1000,-3,1981,1596,11.6,8.9,100,4,3,4,4,4,"1"
"445","nd",-41.1333333333333,220,1050,-2,1983,2569,18.44,8.74,100,3.5,3.5,2.8,4,2.8,"1"
"203","ob",-40.95,180,1080,-3,1981,2469,7.68,8,88,4.5,3,4,4,4,"1"
"406","fa",-40.95,180,1080,-3,1983,2548,23.63,11.82,88,4.5,4,3,2.5,2,"1"
"685","am",-39.7166666666667,150,900,-2,1986,3267,19.91,13.63,47.57215262981,2.76723430279199,2.6620827381005,2.73243360534491,3.15428938166242,2.64100346004486,"0"
"3","ma",-39.6333333333333,100,850,-2,1980,1362,10.32,6.5,50,2.3,2.5,3,3.5,3,"0"
"179","ob",-40.95,180,1080,-3,1981,2469,9.88,8.94,88,4,3,3.5,3.5,3.5,"1"
"147","ag",-40.95,180,1080,-3,1981,1094,2.86,3.2,25,2,2,2,2,2,"0"
"463","ni",-41.1333333333333,220,1050,-2,1983,2547,20.31,9.27,100,4,2.5,2.8,2.5,2.5,"1"
"384","re",-40.6,150,1250,-3,1983,2553,20.34,18.45,75,3.5,3,3.3,3.3,3,"1"
"533","ob",-41.2666666666667,300,1200,-3,1982,2570,10.16,7.74,100,3,3,4,4,4,"1"
"260","jo",-41.2,160,1000,-3,1981,1595,3.1,2.9,2,1.5,3,3,3.5,1,"0"
"205","pu",-40.95,180,1080,-3,1981,1598,6.78,5.62,63,3,4,2.5,3,2,"0"
"60","ov",-40.1833333333333,130,1000,-3,1980,1521,11.3,10,40,2.7,2,3.2,4,3,"0"
"321","ka",-40.95,180,1080,-3,1982,1171,11.62,11.62,2,2,2,4,3,3,"0"
"181","ov",-40.95,180,1080,-3,1981,1785,4.39,4.03,88,1.5,1.5,2,2,3,"0"
"133","jo",-39.8333333333333,70,1000,-2,1981,1595,7.8,5.3,50,1,1.5,4,4,4,"0"
"106","fr",-39.8333333333333,70,1000,-2,1981,1339,33.8,16,50,5,3,2,2,0.5,"1"
"542","re",-41.2666666666667,300,1200,-3,1982,2553,17.95,13.66,100,5,3,4.5,4.5,4,"1"
"613","re",-40,150,1300,-2,1983,2553,39.69,18.25,30,3.9,3.8,4.2,4.1,3.6,"1"
"279","re",-41.2,160,1000,-3,1981,1787,13,9,88,4,3,3.5,3,3,"1"
"568","re",-41.2666666666667,300,1200,-3,1982,2550,14.59,8.68,100,3,2,4,3,3,"0"
"373","nd",-40.6,150,1250,-3,1983,1596,19.04,14.75,50,3.5,4,2.5,2.5,2,"1"
"726","am",-46.3251877938096,150,1750,-2,1986,-141.692890916736,27.68,12.64,86.7439320518391,3.67463678805231,3.38441976671359,3.50272596249535,3.41477210946556,3.30202249228574,"0"
"164","sm",-40.95,180,1080,-3,1981,1340,5.93,6.48,100,1.8,1.8,2,2,3,"0"
"702","te",-39.7166666666667,150,900,-2,1986,1609,21.89,8.21,59.7615407712483,2.91590748203922,2.7435657277088,2.82786687887366,3.00750717223872,2.69911947789122,"0"
"99","ag",-39.8333333333333,70,1000,-2,1981,1094,7.8,7.4,63,1,1,3,3,3,"0"
"562","ob",-41.2666666666667,300,1200,-3,1982,2570,16.93,8.1,75,2.5,2,2.5,2.5,2,"0"
"534","ov",-41.2666666666667,300,1200,-3,1982,1788,6.06,4.2,100,1.5,1.5,2,2,1,"0"
"150","jo",-40.95,180,1080,-3,1981,1595,5.34,3.05,75,2.7,1,3,4,4,"0"
"550","br",-41.2666666666667,300,1200,-3,1982,2621,5.1,2.66,75,3,2,2,2,3,"0"
"169","br",-40.95,180,1080,-3,1981,1113,3.98,3.98,75,3,2,3,4,3,"0"
"520","br",-41.2666666666667,300,1200,-3,1982,2620,7.3,5.91,100,2,2,3,4,4,"0"
"518","am",-41.2666666666667,300,1200,-3,1982,2560,6.35,4.62,100,3,4,2,3,4,"0"
"255","re",-41.2,160,1000,-3,1981,1787,10.3,10,4,3,4,3,3,3,"0"
"18","pu",-39.6333333333333,100,850,-2,1980,1523,18.71,10.9,100,4,4,3.3,4,3,"1"
"44","pu",-39,200,1400,-2,1980,1523,31.72,9.96,68.6716821105596,4.5,4,3.5,3.5,3,"1"
"647","co",-40.95,180,1080,-3,1981,2562,8.83,8.6,63,3,3.5,3.5,3.5,3,"0"
"91","ov",-39.8333333333333,70,1000,-2,1981,1785,7.2,6,50,1.3,1.3,4,4,4,"0"
"595","rd",-40,150,1300,-2,1983,2575,19.91,6.77,40,1.6,1.8,2.3,2.5,2.3,"0"
"32","nd",-39,200,1400,-2,1980,1596,25.99,9.6,68.1341203222077,4,4,3,4,2.7,"1"
"611","pu",-40,150,1300,-2,1983,2573,8.72,10.17,10,1.5,4,4,4,4,"0"
"119","ro",-39.8333333333333,70,1000,-2,1981,1192,8.9,5.2,63,2.5,1.8,3,3,3,"0"
"574","sm",-41.2666666666667,300,1200,-3,1982,1340,2.63,2.39,50,1,1.5,1,2,2,"0"
"690","co",-39.7166666666667,150,900,-2,1986,2562,33.6,14.17,52.7572807881145,2.83054779432971,2.69681991876621,2.77310547998941,3.09197178127132,2.66580305679321,"0"
"459","fa",-41.1333333333333,220,1050,-2,1983,1482,21.8,8.52,100,2,3,3,3,3,"0"
"541","re",-41.2666666666667,300,1200,-3,1982,2432,12.39,10.77,75,3,3,4,4,4,"1"
"89","nd",-39.8333333333333,70,1000,-2,1981,1596,15.3,10.8,75,3,3,3,4,3.5,"1"
"21","co",-39.6333333333333,100,850,-2,1980,1520,10.75,5.91,50,2.7,4,3.3,3.5,3,"0"
"79","br",-39.8333333333333,70,1000,-2,1981,1112,14,10,100,2.5,1.5,3,4,4,"0"
"687","am",-39.7166666666667,150,900,-2,1986,3269,25.71,11.74,47.55805031153,2.76708356571645,2.66201126315654,2.73234614552762,3.15449544447766,2.64095970100771,"0"
"707","am",-39.7166666666667,150,900,-2,1986,3268,14.31,6.53,47.5632905219856,2.76707560531295,2.66196925552063,2.73230961235322,3.1543098517408,2.64090534358279,"0"
"192","br",-40.95,180,1080,-3,1981,1112,7.83,6.68,100,3,1.8,3.5,4,4,"1"
"531","nd",-41.2666666666667,300,1200,-3,1982,2634,17.77,10.42,50,3,3,2,2,2,"0"
"71","fr",-40.1833333333333,130,1000,-3,1980,1487,37.6,13,10,5,4,2,2,1,"1"
"458","cr",-41.1333333333333,220,1050,-2,1983,1252,12.52,9.23,100,3,2.8,2,2.8,2,"0"
"315","re",-40.95,180,1080,-3,1982,2574,1.17,2.34,25,1,3,3,3,3,"0"
"480","ni",-41.1333333333333,220,1050,-2,1983,2547,18.16,8.29,75,4,2.3,3.3,3.3,3,"1"
"468","pa",-41.1333333333333,220,1050,-2,1983,2750,14.5,8.17,88,1,3,3,3,3,"0"
"58","ni",-40.1833333333333,130,1000,-3,1980,2088,10.3,9.4,80,3,2.5,3,3,3,"1"
"686","am",-39.7166666666667,150,900,-2,1986,3268,17.69,8.08,47.5639171913069,2.76710457785079,2.6619963056413,2.7323375348024,3.15433865512503,2.64093187620314,"0"
"114","ov",-39.8333333333333,70,1000,-2,1981,1785,9.8,7.5,75,1.7,1.3,3.3,4,3.5,"0"
"320","el",-40.95,180,1080,-3,1982,2638,0.58,1.75,25,1.5,3,3,3,3,"0"
"34","ov",-39,200,1400,-2,1980,1521,33.3,13.32,68.6866996376685,4,2.3,3.3,2,1,"1"
"727","co",-46.3259361829539,150,1750,-2,1986,-132.857656681809,30.93,13.05,86.6794778929696,3.67386748258832,3.38400695396417,3.50223950691403,3.41557694908066,3.30173377753355,"0"
"489","fr",-41.1333333333333,220,1050,-2,1983,2751,12.35,6.27,71,4,4,2.5,3.5,2.5,"1"
"598","co",-40,150,1300,-2,1983,2562,33.19,14.42,30,3.6,3.7,3.2,3.7,3.2,"1"
"431","ob",-40.95,180,1080,-3,1983,1522,1.41,2.82,13,1,3,3,3,3,"0"
"535","ov",-41.2666666666667,300,1200,-3,1982,1259,10.37,5.6,100,3,2,2,2,1,"0"
"521","br",-41.2666666666667,300,1200,-3,1982,2621,8.11,4.98,100,3,1,4,4,4,"0"
"301","sm",-40.95,180,1080,-3,1982,1340,2.1,3.38,50,1,1,3,3,3,"0"
"668","am",-39.7166666666667,150,900,-2,1986,2460,29.6,13.52,53.5065703050996,2.83966611742727,2.70180653012629,2.77894947361423,3.08291368544302,2.66935262133421,"0"
"322","ka",-40.95,180,1080,-3,1982,2631,9.06,6.97,25,1.3,1,2,2,3,"0"
"571","re",-41.2666666666667,300,1200,-3,1982,2553,17.72,11.93,75,4,3,5,4,4,"1"
"447","ni",-41.1333333333333,220,1050,-2,1983,2568,16.7,7.64,100,3.5,2.8,3,3,2,"1"
"701","te",-39.7166666666667,150,900,-2,1986,2768,29.91,11.22,51.2419456682618,2.8120367297088,2.68665960948179,2.76121072003081,3.11017037293849,2.65854671675491,"0"
"281","si",-41.2,160,1000,-3,1981,2435,6,7,13,3,3,4,4,4,"0"
"238","br",-41.2,160,1000,-3,1981,1112,7.4,6.6,3,2,3,3,3,1,"0"
"122","sm",-39.8333333333333,70,1000,-2,1981,1340,20.1,6.9,88,3,2.5,1,0.5,0,"0"
"212","ag",-41.2,160,1000,-3,1981,1094,12,10.3,38,2.8,3.2,2.8,3.2,3,"0"
"5","ni",-39.6333333333333,100,850,-2,1980,2088,14.5,10.78,90,4,2.7,3.3,3,3,"1"
"469","re",-41.1333333333333,220,1050,-2,1983,2553,11.28,6.41,50,4,3.5,3.5,3.5,3,"1"
"20","si",-39.6333333333333,100,850,-2,1980,1525,17.52,9.22,60,4,3,3,3,2,"1"
"183","re",-40.95,180,1080,-3,1981,2428,6.48,6.42,38,4,3.5,4,4,3.5,"1"
"449","ob",-41.1333333333333,220,1050,-2,1983,2570,16.55,8.21,100,3.5,3,3.5,3.3,3,"1"
"394","nd",-40.95,180,1080,-3,1983,2569,16.69,11.67,75,3,3.8,3.4,4,3.5,"0"
"505","ob",-41.2666666666667,300,1200,-3,1982,2570,6.05,5.44,100,3,2.5,3.5,3.5,3,"0"
"456","am",-41.1333333333333,220,1050,-2,1983,2560,16.5,7.08,75,3,3.5,2.5,4,3,"1"
"69","pu",-40.1833333333333,130,1000,-3,1980,1523,20.8,12,20,3,4,3,3.5,3,"0"
"388","nd",-40.6,150,1250,-3,1983,2634,26.28,20.11,25,3.1,3,3,3,2,"1"
"400","re",-40.95,180,1080,-3,1983,2553,9.73,11.04,75,3,3,3.5,4,3.5,"1"
"296","ov",-40.95,180,1080,-3,1982,1259,9.65,8.01,100,3,2,3,3.5,3,"0"
"460","fa",-41.1333333333333,220,1050,-2,1983,2548,13.7,5.35,88,4,3,2,3,1.5,"1"
"502","nd",-41.2666666666667,300,1200,-3,1982,2569,12.5,6.62,100,3,3,3,3,3,"1"
"132","fr",-39.8333333333333,70,1000,-2,1981,2447,21.4,12.7,75,4.6,4,3,3,3,"1"
"42","ob",-39,200,1400,-2,1980,1522,39.72,13.82,68.6804885782248,5,4,3.3,3,2,"1"
"123","ag",-39.8333333333333,70,1000,-2,1981,1094,13.5,4,13,0.5,0,1,1,1,"0"
"671","nd",-39.7166666666667,150,900,-2,1986,3271,18.73,8.53,47.5420510565224,2.76684433308496,2.66185705472119,2.73217330588426,3.15461296370832,2.64083474946275,"0"
"427","fr",-40.95,180,1080,-3,1983,2552,1.59,2.89,38,2.5,3,3,3,3,"0"
"688","am",-39.7166666666667,150,900,-2,1986,2770,11.25,5.14,51.2240396693588,2.81170890769053,2.68642262963521,2.76095245160515,3.1101995106267,2.65834055440929,"0"
"669","co",-39.7166666666667,150,900,-2,1986,2562,40.44,17.06,52.7585233039098,2.83060528215897,2.69687359805919,2.77316088918754,3.09202896408214,2.66585571140548,"0"
"366","fr",-40.6,150,1250,-3,1983,2552,31.73,18.88,63,3.8,3.2,3,3,2,"1"
"264","br",-41.2,160,1000,-3,1981,1113,3.3,2.7,100,1.5,1,2,3,3,"0"
"177","nd",-40.95,180,1080,-3,1981,1596,2.73,3.77,100,2.5,4,3.5,4.5,4,"1"
"721","ra",-39.7166666666667,150,900,-2,1986,1825,19.63,8.97,58.1732684636926,2.89652606754755,2.73293849530397,2.81542186208347,3.02661688305283,2.69153665230464,"0"
"303","am",-40.95,180,1080,-3,1982,2560,4.39,5.19,50,2.5,3.5,3,4.5,4,"0"
"92","pu",-39.8333333333333,70,1000,-2,1981,1598,15.9,12.8,100,4,4,3.3,4,3,"1"
"399","pu",-40.95,180,1080,-3,1983,2573,5.19,4.44,13,1.5,2.5,3,3,3,"0"
"302","am",-40.95,180,1080,-3,1982,1592,7.5,8.08,25,2,3,3,4,4,"0"
"230","re",-41.2,160,1000,-3,1981,2431,9,9.6,75,4,3,4,3,2.5,"1"
"139","pu",-39.8333333333333,70,1000,-2,1981,1598,14,10.3,100,3.5,4,2,3,2,"0"
"8","pu",-39.6333333333333,100,850,-2,1980,1523,19.05,11.26,100,5,4.5,3.5,4,2,"1"
"215","br",-41.2,160,1000,-3,1981,1113,8.6,9.5,100,2,1.5,4,4,4,"0"
"189","nc",-40.95,180,1080,-3,1981,1780,2.6,3.64,38,1,2,2,2,3,"0"
"397","ov",-40.95,180,1080,-3,1983,2571,14.82,14.23,50,3,1.7,4,4,3.5,"1"
"115","pu",-39.8333333333333,70,1000,-2,1981,1598,15.2,14.4,100,4.5,4,3,4,3,"1"
"718","pu",-39.7166666666667,150,900,-2,1986,3273,25.85,11.06,47.5285906831687,2.76672260555584,2.66181257198094,2.7321137269956,3.15484739150898,2.6408174310589,"0"
"159","re",-40.95,180,1080,-3,1981,2428,3.63,5.02,63,4,3.5,4,4,3.5,"1"
"401","rd",-40.95,180,1080,-3,1983,2575,13.54,8.81,88,2.7,2,2.5,3,3,"0"
"453","rd",-41.1333333333333,220,1050,-2,1983,2575,6.65,5.08,88,2.5,2.5,2.5,3,3,"0"
"286","br",-40.95,180,1080,-3,1982,2620,2.29,3.2,50,1,1,3,3,3,"0"
"736","re",-40.6,100,1250,-2,1983,35.0276658443138,22.34,8.84,25,3.8,3.5,3,3.5,3,"0"
"109","jo",-39.8333333333333,70,1000,-2,1981,1595,6.5,4.4,63,0.5,0.5,4,4.5,4,"0"
"678","ra",-39.7166666666667,150,900,-2,1986,1257,21.07,9.62,62.3494922348281,2.94747527195292,2.76086843948402,2.84813142087444,2.9763481947108,2.71146119180836,"0"
"7","ov",-39.6333333333333,100,850,-2,1980,1521,13.93,9.77,80,4,2,3,3,3,"1"
"112","ob",-39.8333333333333,70,1000,-2,1981,1337,22.2,14.6,63,5,3,4,4,3.2,"1"
"27","ov",-39.6333333333333,100,850,-2,1980,1521,8.78,5.79,50,2.5,2,3.2,3.3,3,"0"
"524","fa",-41.2666666666667,300,1200,-3,1982,1482,2.37,2.73,50,1,3,3,3,3,"0"
"683","te",-39.7166666666667,150,900,-2,1986,3274,26.87,10.08,47.5212769944345,2.76663495495887,2.66176534741665,2.73205814349945,3.15493810986168,2.64078427660641,"0"
"409","nd",-40.95,180,1080,-3,1983,2569,11.23,10.34,50,3,3.5,3.3,4,3.5,"1"
"136","ob",-39.8333333333333,70,1000,-2,1981,1337,24.5,13.5,75,5,3,4,4,2.5,"1"
"411","ni",-40.95,180,1080,-3,1983,2568,11.66,8.57,75,3,2.5,2.5,2.5,2.5,"0"
"691","nd",-39.7166666666667,150,900,-2,1986,3270,35.78,16.29,47.5525584034141,2.76707989774789,2.66204241513998,2.73237147274454,3.15466948259847,2.64100341089561,"0"
"243","fr",-41.2,160,1000,-3,1981,1339,15,11.6,4,3,2,2,2,3,"0"
"318","am",-40.95,180,1080,-3,1982,1592,11.77,8.08,75,3,4,3,4,3,"1"
"317","sm",-40.95,180,1080,-3,1982,1340,2.1,3.85,25,1,2,3,3,3,"0"
"443","fa",-41.1333333333333,220,1050,-2,1983,2548,15.98,6.24,63,3.5,4,2.8,2.8,2.5,"0"
"266","fa",-41.2,160,1000,-3,1981,1978,11,8.1,100,4,3,2,2,2,"1"
"158","pu",-40.95,180,1080,-3,1981,1598,10.75,9.26,88,4,4,4,4,4,"1"
"567","pu",-41.2666666666667,300,1200,-3,1982,2573,10.78,6.62,100,2.5,4,3,3,2,"0"
"262","bxs",-41.2,160,1000,-3,1981,1111,1.6,1.8,88,1,2,3,3,3,"0"
"376","ni",-40.6,150,1250,-3,1983,2568,47.73,18.55,13,3.5,2.7,2,2,2,"1"
"538","pu",-41.2666666666667,300,1200,-3,1982,2573,7.84,4.29,25,2,4,1,2,3,"0"
"175","fr",-40.95,180,1080,-3,1981,2447,9.99,6.83,88,4,3,3.5,3,2.5,"1"
"261","ag",-41.2,160,1000,-3,1981,1094,10.5,6,25,3,3,2,3,2.5,"0"
"166","ag",-40.95,180,1080,-3,1981,1094,1.03,2.17,13,2,2,2,2,2,"0"
"328","rd",-40.95,180,1080,-3,1982,2575,4.84,4.13,50,2,1.5,3,3,3,"0"
"337","ni",-40.6,150,1250,-3,1983,2547,20.8,10.23,13,3,3,3,2.5,3,"0"
"585","nd",-40,150,1300,-2,1983,2569,22.15,14.57,20,3,4,3,3.4,3,"1"
"417","re",-40.95,180,1080,-3,1983,2550,9.15,8.42,25,3,3.5,3.5,4,4,"0"
"4","nd",-39.6333333333333,100,850,-2,1980,1596,14.8,9.48,70,3.7,3,3.3,4,3.5,"1"
"128","fa",-39.8333333333333,70,1000,-2,1981,1482,20,13.2,75,4.5,3,4,4,4,"1"
"342","pu",-40.6,150,1250,-3,1983,2573,21.7,17.42,88,3,3.5,3,3.3,2.3,"1"
"503","nd",-41.2666666666667,300,1200,-3,1982,2634,7.97,5.88,75,2.5,3,3,3,3.5,"0"
"477","fa",-41.1333333333333,220,1050,-2,1983,2548,6.34,3.65,100,3,3,2,2.5,2.5,"0"
"125","br",-39.8333333333333,70,1000,-2,1981,1112,13.1,10.6,88,2,2,3,3,3,"0"
"298","pu",-40.95,180,1080,-3,1982,2573,15.02,8.04,75,3,4,3,3.2,2.5,"0"
"240","el",-41.2,160,1000,-3,1981,1338,7.3,5.6,3.5,3,2.5,2.5,2.5,1.5,"0"
"575","am",-40,150,1300,-2,1983,1592,43.29,17.2,20,4.5,4.5,3.7,4,3,"1"
"391","co",-40.95,180,1080,-3,1983,1,6.77,7.19,75,3,3,2.7,3,3,"0"
"85","fr",-39.8333333333333,70,1000,-2,1981,1786,13.3,10.8,75,4,3.8,4,4,4,"1"
"213","bxs",-41.2,160,1000,-3,1981,1111,15,8.4,88,3,3,3,3,2,"0"
"481","ni",-41.1333333333333,220,1050,-2,1983,2568,21.09,9.63,63,4,3,4,3.3,3,"1"
"486","re",-41.1333333333333,220,1050,-2,1983,2553,11.55,6.56,100,3,2.7,3.3,4,4,"1"
"216","el",-41.2,160,1000,-3,1981,1338,8.2,6.6,63,4,4,3,3,3,"0"
"379","ov",-40.6,150,1250,-3,1983,1788,7.4,13.38,25,1,2,3.2,3,3,"0"
"259","sm",-41.2,160,1000,-3,1981,1340,7.7,6.1,2,2,2,2,3,0.5,"0"
"87","jo",-39.8333333333333,70,1000,-2,1981,1595,5.2,4.3,75,0.5,0.5,4,4,4,"0"
"414","ov",-40.95,180,1080,-3,1983,2571,8.83,7.91,63,3.5,2.5,3.5,4,4,"1"
"438","am",-41.1333333333333,220,1050,-2,1983,1592,23.59,9.87,75,3,4,3,4,3,"1"
"323","ov",-40.95,180,1080,-3,1982,1788,15.31,11.77,75,3,2,4,4,4,"1"
"563","ov",-41.2666666666667,300,1200,-3,1982,1788,2.68,2.33,75,1,1.5,2,2,2,"0"
"632","fa",-40.95,180,1080,-3,1981,2426,8.3,5.93,4,2,3.5,3,3,3,"0"
"510","pu",-41.2666666666667,300,1200,-3,1982,2573,2.45,3.06,50,1.5,4,1,2,3,"0"
"734","ni",-40.6,100,1250,-2,1983,2568,28.21,9.47,94,4.6,3,2,1.8,1.2,"1"
"344","re",-40.6,150,1250,-3,1983,2553,25.57,17.43,50,3.7,3,2.7,3,2,"0"
"681","te",-39.7166666666667,150,900,-2,1986,1609,33.99,12.75,59.763679296895,2.91600652773839,2.74365822575974,2.82796235504986,3.00760576474405,2.69921021560595,"0"
"283","sm",-41.2,160,1000,-3,1981,1340,6.2,5.3,100,2,2,2.5,2.5,3,"0"
"405","fa",-40.95,180,1080,-3,1983,1482,14.03,9.9,63,3.5,4,3.5,3,3,"1"
"546","am",-41.2666666666667,300,1200,-3,1982,1592,20.43,10.39,75,3,4,2,3,2,"1"
"365","rd",-40.6,150,1250,-3,1983,2575,3.62,6.03,25,1,3,2.5,2.5,3,"0"
"627","ov",-40,150,1300,-2,1983,1788,17.33,8.32,40,1.9,2.1,2.5,3,2.8,"0"
"659","re",-40.95,180,1080,-3,1981,2553,11.96,9.91,33,4,4,4,4,4,"1"
"646","bxs",-40.95,180,1080,-3,1981,1111,6.92,4.54,48,3,3,2.5,2,2,"0"
"100","bxs",-39.8333333333333,70,1000,-2,1981,1111,16.4,13.3,100,4.5,3,3.3,3.3,2.7,"1"
"134","ka",-39.8333333333333,70,1000,-2,1981,1171,13.1,10.1,100,2,2,2,2,2,"0"
"232","nc",-41.2,160,1000,-3,1981,1780,8.8,5.3,63,3,3,3,4,4,"0"
"54","rd",-39,200,1400,-2,1980,1524,22.72,11.52,68.6631098446404,3,2.5,3.5,3.5,2.8,"1"
"225","ob",-41.2,160,1000,-3,1981,1337,19.6,11.8,63,5,3,3.5,3,2,"1"
"497","fa",-41.2666666666667,300,1200,-3,1982,2426,11.85,7.47,50,3,3,4,3,3,"0"
"11","co",-39.6333333333333,100,850,-2,1980,1520,8.15,6.72,70,1.5,3,3,3,3,"0"
"341","ov",-40.6,150,1250,-3,1983,2571,19.35,17.3,50,2.5,2,3.2,4,4,"0"
"578","cr",-40,150,1300,-2,1983,1252,26.59,10.8,40,3.6,3.8,2.6,2.6,2.5,"1"
"393","nd",-40.95,180,1080,-3,1983,1596,7.68,6.56,50,3,3.5,3.5,4,4,"0"
"306","br",-40.95,180,1080,-3,1982,2621,3.09,2.63,75,2.5,2,3.3,3.3,3.3,"0"
"446","ni",-41.1333333333333,220,1050,-2,1983,2547,21.25,9.62,100,3.5,2.5,3,3,2,"1"
