"","surgery","Age","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","outcome","rectal_temperature","pulse","respiratory_rate","packed_cell_volume","total_protein","surgical_lesion"
"204","yes","adult","cool","normal","pale pink","<3","intermittent severe pain","absent","slight","slight","none","absent","distended large intestine","lived",39.2,66.7860315727042,23,36,6.6,"yes"
"196","no","adult","normal","normal","bright red",">=3","depressed","normal","none","slight","none","increased","firm feces in large intestine","euthanized",38.5,60,20,63,7.5,"no"
"211","yes","adult","cold","reduced","pale cyanotic","<3","depressed","absent","severe","none","none","absent","distended large intestine","died",38,86,24,45,5.5,"yes"
"272","yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine","lived",42.9990247508152,100,30,52,6.6,"yes"
"79","yes","adult","normal","reduced","dark cyanotic",">=3","intermittent mild pain","absent","slight","slight","<1l","absent","distended small intestine","lived",37.5,96,18,69,8.9,"yes"
"29","no","adult","warm","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","absent","distended large intestine","lived",37.7,48,21.0155619713291,45,76,"no"
"92","no","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","decreased","normal","lived",38.8,50,20,42,6.2,"no"
"215","yes","adult","normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","other","lived",37.8,40,12,38,7,"yes"
"283","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.2,72,18,35,6.4,"yes"
"330","yes","adult","cool","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine","lived",39.1,60,10,37.853331693007,37.9320234572952,"yes"
"274","yes","adult","cool","reduced","normal pink","<3","intermittent mild pain","absent","severe","slight","none","absent","distended large intestine","euthanized",19.5689076959776,76,32.8990333433116,30.3424203968473,-65.0210025350621,"yes"
"163","yes","adult","normal","reduced","pale pink","<3","continuous severe pain","hypomotile","none","none","none","decreased","distended large intestine","euthanized",38,66,20,46,46,"yes"
"167","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal","lived",21.4910470664733,44,24,26.3616361710568,6.3,"no"
"316","yes","adult","warm","reduced","normal pink","<3","depressed","absent","moderate","significant",">1l","absent","distended large intestine","lived",38.3,66,30,37,6,"yes"
"280","yes","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38.6,48,12,36,67,"no"
"263","yes","adult","cool","normal","pale pink",">=3","intermittent severe pain","absent","slight","slight","<1l","absent","distended small intestine","died",37.1,75,36,48,7.4,"yes"
"99","no","adult","cool","reduced","dark cyanotic",">=3","depressed","absent","moderate","none",">1l","decreased","distended large intestine","lived",39.6,108,51,59,8,"no"
"112","yes","adult","warm","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","absent","distended large intestine","lived",30.9709155328052,40,18.1078664522923,39,56,"yes"
"338","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine","lived",37.5,44,23.801041688054,45,5.8,"no"
"72","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",37.7,56,24.978166477286,37.1135373426792,27.4287998141984,"yes"
"26","yes","adult","cold","reduced","pale pink",">=3","intermittent mild pain","hypomotile","moderate","slight","none","decreased","distended large intestine","lived",38.3,72,30,43,7,"yes"
"354","yes","adult","normal","normal","normal pink","<3","alert no pain","normal","none","none","none","normal","distended large intestine","lived",33.2709142272445,36,12,44,75.8179595327532,"yes"
"315","no","young","normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","absent","distended large intestine","lived",38,92,28,37,6.1,"no"
"37","yes","adult","cool","reduced","normal pink","<3","continuous severe pain","hypomotile","none","slight","none","normal","normal","lived",37.8,72,29.5161658497594,56,80,"yes"
"61","no","adult","warm","increased","normal pink","<3","alert no pain","normal","slight","slight","none","normal","normal","lived",38.5,60,28.3573077002078,44,7.7,"no"
"133","no","adult","normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","firm feces in large intestine","lived",37.9,40,24,40,5.7,"yes"
"131","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","<1l","absent","distended large intestine","died",37.6,88,36,44,6,"yes"
"34","yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine","lived",42.9990247508152,100,30,52,6.6,"yes"
"124","no","adult","cool","normal","pale cyanotic","<3","alert no pain","hypermotile","moderate","slight","none","normal","normal","euthanized",37.6,48,20,37,5.5,"yes"
"240","yes","adult","cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine","died",38,90,30,55,6.1,"yes"
"250","yes","adult","cold","absent","dark cyanotic","<3","depressed","absent","none","none","<1l","absent","distended small intestine","euthanized",39.3,100,51,66,13,"yes"
"253","no","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine","lived",43.1902150982867,112,24,40,5.3,"no"
"70","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight",">1l","absent","distended small intestine","euthanized",37,60,20,43,7.6,"yes"
"152","yes","adult","cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","severe","slight","none","absent","distended large intestine","lived",57.8948634393654,100,42.8199959736708,68,64,"yes"
"242","yes","adult","normal","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine","died",22.8676430717634,36,32,41,5.9,"yes"
"353","yes","adult","warm","normal","pale pink","<3","depressed","hypomotile","none","slight","none","absent","distended large intestine","euthanized",38.7,34,30,33,69,"yes"
"27","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine","lived",37.8,48,12,37,5.5,"no"
"168","yes","adult","normal","normal","pale pink","<3","depressed","absent","slight","slight","<1l","absent","distended small intestine","lived",38.4,104,40,55,8.5,"yes"
"147","no","adult","warm","normal","pale pink","<3","intermittent mild pain","absent","moderate","none",">1l","normal","distended small intestine","died",38,44,12,33,6.5,"yes"
"275","yes","young","normal","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","slight","none","none","absent","distended large intestine","died",38.8,150,50,50,6.2,"yes"
"209","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","decreased","firm feces in large intestine","lived",37.5,44,10,43,51,"no"
"343","yes","adult","warm","normal","bright pink","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine","lived",37.7,55,28,38.8655508494869,39.0422641931062,"yes"
"59","no","adult","cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","none",">1l","absent","distended large intestine","died",43.7071140140958,96,42.3690682195581,60,1.21371523958235,"yes"
"199","no","adult","cool","normal","bright pink","<3","depressed","hypermotile","slight","slight","none","decreased","other","lived",38.5,60,40,49,59,"no"
"182","yes","adult","cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","severe","none","none","absent","distended large intestine","died",38,92.0914744857203,24,68,7.8,"yes"
"324","yes","adult","cold","normal","pale cyanotic",">=3","continuous severe pain","hypomotile","none","none","<1l","absent","distended small intestine","died",38.1,84,44,60,6.8,"yes"
"11","no","adult","warm","normal","bright pink","<3","depressed","hypermotile","slight","none","none","absent","distended small intestine","lived",39.1,72,52,50,7.8,"yes"
"362","yes","young","cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","normal","distended large intestine","died",38.2,78,60,59,5.8,"yes"
"188","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38.5,60,24.1189435940688,33,53,"yes"
"255","yes","young","normal","normal","normal pink","<3","intermittent severe pain","hypermotile","moderate","slight","none","increased","distended large intestine","died",38.8,184,84,33,3.3,"yes"
"248","yes","adult","warm","reduced","pale cyanotic","<3","intermittent severe pain","hypomotile","moderate","slight","none","decreased","distended small intestine","lived",38,108,60,54.1200234761174,-43.0093199690108,"yes"
"25","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",37.8,60,42,41.8036397698011,28.4328493873595,"no"
"304","no","adult","cool","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","absent","other","lived",38,42,12,37,5.8,"no"
"225","no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","decreased","other","lived",38.4,54,24,49,7.2,"no"
"322","no","adult","cool","normal","pale pink","<3","intermittent mild pain","normal","moderate","slight","none","absent","distended large intestine","lived",37.5,40,32,32,6.4,"yes"
"270","yes","adult","cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","decreased","distended small intestine","died",37.5,60,50,35,6.5,"yes"
"282","yes","adult","cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine","died",34.4549804381992,70,16,60,7.5,"yes"
"157","yes","adult","normal","normal","pale pink",">=3","intermittent mild pain","absent","severe","slight","<1l","absent","distended large intestine","euthanized",37.8,60,24,52,75,"yes"
"227","yes","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",36.2288239373982,79.2975113429134,33.9467536718842,45,6.5,"yes"
"170","no","adult","normal","normal","pale pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine","lived",37.5,44,20,35,7.2,"no"
"219","yes","adult","cool","reduced","pale cyanotic","<3","intermittent mild pain","absent","moderate","slight","none","absent","distended small intestine","lived",26.5721802212121,52,28,37,8.1,"yes"
"81","yes","adult","cool","reduced","normal pink","<3","depressed","hypomotile","slight","significant","none","decreased","distended large intestine","lived",37.3,40,17.7147553759075,36,69.0246585963368,"yes"
"96","no","adult","cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","other","lived",38.0162706276203,84,36,44,8.5,"yes"
"178","yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine","lived",41.7382900451368,60,30,45,70,"yes"
"191","no","young","warm","normal","normal pink","<3","intermittent severe pain","hypermotile","none","slight","none","normal","distended large intestine","lived",41.5252971920617,100,44,37,4.7,"no"
"55","yes","young","cool","normal","bright red","<3","intermittent mild pain","hypomotile","severe","significant","none","absent","distended large intestine","died",38.6,160,20,38,-136.123777997314,"yes"
"195","no","adult","cool","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","normal","distended large intestine","lived",38,44,12,42,64,"no"
"320","yes","adult","cool","normal","dark cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine","euthanized",39.7,100,30,65,75,"yes"
"160","yes","adult","cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","none","none","absent","distended large intestine","lived",31.9484489103584,44.6280204494714,18.8303182067541,35,58,"yes"
"90","no","adult","cool","normal","normal pink","<3","depressed","hypomotile","none","slight","<1l","normal","normal","lived",38,52,16,53,86,"yes"
"331","no","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","firm feces in large intestine","lived",37.8,48,16,43,7.5,"no"
"189","yes","adult","cool","normal","normal pink","<3","depressed","hypermotile","none","slight",">1l","normal","distended small intestine","lived",38.3,60,16,30,6,"yes"
"239","yes","adult","cool","normal","normal pink","<3","continuous severe pain","hypomotile","none","slight","none","absent","distended large intestine","euthanized",38.1,70,22,36,65,"yes"
"260","no","adult","cool","normal","normal pink","<3","intermittent severe pain","hypomotile","slight","none","none","absent","distended large intestine","lived",38,40,25,37,69,"no"
"287","no","young","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",39.5,84,30,28,5,"no"
"100","yes","adult","cool","reduced","normal pink","<3","alert no pain","hypomotile","none","slight","none","normal","normal","lived",38.2,40,16,34,66,"no"
"145","no","adult","cool","reduced","bright pink","<3","depressed","hypomotile","moderate","slight","none","decreased","distended large intestine","lived",50.401866413016,80,32,50,80,"yes"
"237","no","adult","warm","normal","bright red","<3","intermittent mild pain","hypermotile","none","slight","none","absent","other","lived",37.9,54,42,47,54,"no"
"1","yes","adult","cool","normal","pale cyanotic","<3","intermittent mild pain","absent","slight","slight","none","absent","other","euthanized",39.2,88,20,50,85,"no"
"2","no","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","normal","lived",38.3,40,24,33,6.7,"no"
"261","no","adult","warm","normal","normal pink","<3","alert no pain","hypomotile","slight","slight","none","absent","other","lived",38.4,48,16,39,6.5,"no"
"285","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",38.5,66,24,40,6.7,"yes"
"244","yes","young","normal","reduced","bright pink","<3","depressed","hypomotile","severe","slight","none","absent","distended large intestine","lived",38.2,124,88,47,8,"yes"
"347","yes","adult","cool","reduced","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","lived",38.1,72,30,37,56,"yes"
"149","no","adult","cool","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","distended large intestine","lived",38.7,48,24,34,63,"no"
"54","no","adult","cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine","euthanized",40.3,114,36,57,8.1,"yes"
"68","no","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","<1l","absent","distended large intestine","lived",28.3477993815937,52,16,55,7.2,"no"
"231","no","adult","cool","reduced","dark cyanotic","<3","continuous severe pain","absent","none","slight","<1l","absent","distended large intestine","died",39.5,92,28,72,6.4,"no"
"302","yes","adult","cool","absent","pale pink",">=3","continuous severe pain","absent","severe","none","none","decreased","distended large intestine","lived",37.7,44,28,45,70,"yes"
"135","yes","young","cool","reduced","pale pink","<3","continuous severe pain","hypermotile","moderate","slight",">1l","increased","distended large intestine","died",38.1,136,48,33,4.9,"yes"
"277","no","adult","warm","reduced","pale pink","<3","alert no pain","hypomotile","slight","significant","none","absent","distended large intestine","lived",36.9,50,40,37.5,6.5,"no"
"80","yes","adult","cool","reduced","pale cyanotic","<3","intermittent severe pain","hypomotile","slight","slight","none","absent","distended small intestine","died",36.4,98,35,47,6.4,"yes"
"359","yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","moderate","slight","<1l","absent","distended large intestine","lived",38.5,90,33.5763205857447,47,79,"yes"
"89","no","adult","normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","absent","distended large intestine","lived",38.3,42,10,38,61,"no"
"305","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","absent","none","significant",">1l","absent","distended large intestine","lived",42.7418394987725,60,40,42,72,"yes"
"130","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","died",37.8,30,12,31.3639750508875,76.3958640074875,"yes"
"82","yes","young","cool","normal","bright pink","<3","intermittent mild pain","absent","none","slight","none","normal","distended large intestine","lived",38.1,100,80,36,5.7,"yes"
"176","yes","adult","normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","other","lived",38.2,60,30,48,66,"yes"
"22","yes","adult","warm","normal","pale cyanotic","<3","depressed","hypomotile","none","slight","none","normal","distended large intestine","lived",38.6,42,34,48,7.2,"yes"
"67","no","adult","normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","decreased","other","lived",38.4,54,24,49,7.2,"no"
"299","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal","euthanized",37.2,40,20,36,62,"no"
"252","yes","young","cool","normal","bright pink","<3","depressed","hypomotile","severe","none","none","absent","distended small intestine","died",38.8,124,36,50,7.6,"yes"
"56","yes","adult","cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine","lived",19.5582174667699,41.2648648279313,17.6484609862335,24,6.7,"yes"
"51","yes","adult","normal","normal","pale pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine","died",37.4,84,36,45.4897435327912,-5.88620638146367,"yes"
"138","no","adult","normal","increased","pale pink","<3","alert no pain","hypermotile","none","none","none","normal","normal","lived",38,56,23.2289006221639,42,71,"no"
"33","yes","adult","normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended small intestine","lived",38.2,64,28,49,8.6,"yes"
"165","yes","adult","cool","normal","bright red","<3","intermittent mild pain","hypomotile","moderate","none","none","absent","distended large intestine","euthanized",39.4,120,48,56,64,"no"
"73","yes","adult","normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","distended large intestine","died",38.1,52,24,54,7.5,"yes"
"346","no","adult","cool","normal","pale pink",">=3","depressed","normal","none","slight","none","absent","firm feces in large intestine","lived",37.1,114,40,32,-80.8092912246371,"no"
"150","no","adult","cool","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","absent","other","lived",38.9,44,14,33,64,"no"
"332","yes","adult","cold","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended large intestine","lived",39,120,49.1916366046286,65,8.2,"no"
"201","yes","adult","normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine","died",38.5,86,36.1614034697679,45,7.4,"yes"
"155","no","adult","cool","reduced","pale cyanotic","<3","alert no pain","absent","slight","slight","none","absent","other","lived",38,48,20,49,8.3,"no"
"309","no","adult","cool","reduced","pale pink",">=3","depressed","hypomotile","none","slight","none","decreased","distended large intestine","lived",37.9,45,36,33,5.7,"yes"
"86","yes","adult","cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","significant","none","absent","distended large intestine","died",40.6205001369399,88,40,50,7.7,"yes"
"10","yes","adult","cool","reduced","bright red","<3","intermittent mild pain","hypomotile","none","slight","none","increased","distended large intestine","lived",38.1,66,12,44,6,"yes"
"317","no","adult","cool","normal","normal pink","<3","depressed","hypermotile","none","none","none","decreased","other","lived",37.5,48,24,43,6,"no"
"230","yes","adult","cool","reduced","normal pink","<3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine","lived",38.5,104,40,50.8877487033581,-30.7315904679282,"yes"
"311","no","adult","cool","normal","pale pink",">=3","intermittent mild pain","hypomotile","slight","significant","<1l","absent","distended small intestine","lived",38.2,60,24,53,7.5,"no"
