"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern","Class"
"302","casual","average",4.8,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"116","casual","average",4.5,"l","spring","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"460","casual","low",4.6,"free","spring","v-neck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_draped","Pattern_solid","1"
"49","casual","medium",4.65032258064516,"l","winter","boat-neck","full","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"285","party","medium",4.7,"m","winter","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_button","Pattern_solid","2"
"253","casual","average",4.9,"m","autumn","v-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"71","sexy","low",4.65032258064516,"m","spring","v-neck","short","natural","Material_polyster","FabricType_satin","Decoration_ruffles","Pattern_solid","2"
"366","brief","average",4.9,"free","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"167","brief","average",4.9,"free","summer","slash-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"308","casual","average",4.8,"l","autumn","o-neck","short","natural","Material_cashmere","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"112","casual","average",4.65032258064516,"m","autumn","o-neck","short","empire","Material_polyster","FabricType_chiffon","Decoration_applique","Pattern_print","1"
"233","cute","average",4.65032258064516,"m","winter","o-neck","short","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"453","cute","average",4.5,"l","winter","v-neck","sleevless","natural","Material_polyster","FabricType_jersey","Decoration_sashes","Pattern_solid","2"
"72","sexy","average",4.2,"m","winter","v-neck","sleevless","natural","Material_cotton","FabricType_flannael","Decoration_lace","Pattern_solid","1"
"26","sexy","average",4.7,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"336","casual","low",4.7,"s","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"14","casual","low",5,"m","summer","boat-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"61","casual","average",4.65032258064516,"free","spring","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_plaid","1"
"131","sexy","average",4.6,"m","winter","o-neck","full","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"34","party","high",4.7,"m","spring","o-neck","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"333","sexy","low",4.8,"free","summer","slash-neck","sleevless","empire","Material_silk","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"335","casual","average",4.5,"m","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_ruched","Pattern_striped","1"
"184","sexy","low",4.3,"free","winter","v-neck","sleevless","natural","Material_silk","FabricType_worsted","Decoration_lace","Pattern_solid","2"
"152","sexy","low",4.7,"free","summer","turndowncollor","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"327","casual","low",5,"free","spring","bowneck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_applique","Pattern_print","1"
"479","cute","low",4.65032258064516,"free","spring","v-neck","sleevless","natural","Material_silk","FabricType_worsted","Decoration_lace","Pattern_patchwork","2"
"428","sexy","medium",4.65032258064516,"free","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_sequined","Pattern_solid","1"
"230","casual","average",4.6,"free","winter","v-neck","full","natural","Material_cotton","FabricType_flannel","Decoration_lace","Pattern_striped","1"
"27","casual","low",4.65032258064516,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_jersey","Decoration_lace","Pattern_print","1"
"277","party","very-high",4.65032258064516,"m","winter","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_feathers","Pattern_solid","2"
"147","casual","average",4.8,"l","winter","v-neck","short","empire","Material_polyster","FabricType_chiffon","Decoration_ruffles","Pattern_solid","1"
"301","party","high",4.5,"m","winter","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"59","work","average",4.65032258064516,"m","autumn","slash-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_bow","Pattern_patchwork","1"
"355","sexy","low",4.5,"free","summer","slash-neck","sleevless","natural","Material_polyster","FabricType_corduroy","Decoration_lace","Pattern_solid","1"
"92","ol","medium",4.65032258064516,"m","winter","mandarin-collor","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"201","casual","average",4.1,"m","autumn","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"331","cute","low",4.65032258064516,"l","spring","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"240","casual","average",4.7,"m","winter","v-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_applique","Pattern_print","1"
"407","casual","low",4.7,"l","autumn","o-neck","short","natural","Material_polyster","FabricType_shiffon","Decoration_lace","Pattern_patchwork","2"
"412","casual","low",4.7,"free","winter","o-neck","sleevless","natural","Material_milksilk","FabricType_chiffon","Decoration_lace","Pattern_animal","1"
"487","sexy","average",4.65032258064516,"free","winter","slash-neck","sleevless","natural","Material_cotton","FabricType_broadcloth","Decoration_sequined","Pattern_solid","2"
"456","sexy","low",4.65032258064516,"free","summer","v-neck","sleevless","dropped","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"293","party","very-high",4.9,"m","spring","v-neck","sleevless","empire","Material_cotton","FabricType_sattin","Decoration_beading","Pattern_solid","2"
"359","casual","low",4.7,"s","winter","o-neck","sleeevless","natural","Material_knitting","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"469","cute","average",4.7,"l","summer","o-neck","sleevless","natural","Material_polyster","FabricType_broadcloth","Decoration_lace","Pattern_solid","1"
"446","sexy","high",5,"m","summer","v-neck","sleevless","natural","Material_mix","FabricType_chiffon","Decoration_lace","Pattern_striped","1"
"493","bohemian","low",4.6,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_none","Pattern_solid","2"
"409","casual","average",4.65032258064516,"xl","winter","v-neck","short","empire","Material_polyster","FabricType_shiffon","Decoration_pockets","Pattern_solid","2"
"466","casual","average",4.8,"m","summer","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"309","sexy","low",4.7,"free","spring","v-neck","sleeveless","natural","Material_cotton","FabricType_chiffon","Decoration_sequined","Pattern_solid","2"
"346","casual","low",4.65032258064516,"l","winter","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"208","cute","average",4.7,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_print","1"
"244","casual","average",4.65032258064516,"m","winter","o-neck","full","natural","Material_cotton","FabricType_jersey","Decoration_feathers","Pattern_solid","2"
"81","party","average",4.7,"m","spring","v-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"96","casual","average",4.65032258064516,"m","spring","o-neck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"393","casual","average",5,"m","spring","o-neck","thressqatar","natural","Material_spandex","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"468","casual","average",4.3,"m","winter","slash-neck","sleeveless","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"340","casual","low",4.7,"free","spring","o-neck","halfsleeve","natural","Material_silk","FabricType_chiffon","Decoration_sashes","Pattern_print","1"
"55","novelty","average",4.65032258064516,"s","winter","turndowncollor","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"364","casual","average",4.2,"m","winter","v-neck","full","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"267","party","very-high",4.8,"l","spring","sweetheart","sleevless","empire","Material_microfiber","FabricType_organza","Decoration_beading","Pattern_solid","2"
"198","sexy","average",5,"l","winter","o-neck","threequarter","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_geometric","1"
"371","sexy","low",4.7,"m","winter","v-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_striped","1"
"177","brief","average",4.3,"m","spring","o-neck","full","natural","Material_mix","FabricType_worsted","Decoration_sequined","Pattern_patchwork","2"
"200","casual","average",4.7,"s","summer","v-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_dot","1"
"321","sexy","average",4.5,"m","summer","bowneck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"258","party","high",4.65032258064516,"m","winter","sweetheart","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_pearls","Pattern_solid","1"
"100","fashion","average",4,"free","summer","open","full","natural","Material_cotton","FabricType_chiffon","Decoration_sequined","Pattern_solid","1"
"260","party","average",5,"m","winter","o-neck","capsleeves","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"324","casual","average",5,"l","winter","o-neck","thressqatar","natural","Material_polyster","FabricType_chiffon","Decoration_applique","Pattern_solid","1"
"1","casual","low",4.65032258064516,"l","summer","o-neck","petal","natural","Material_microfiber","FabricType_chiffon","Decoration_ruffles","Pattern_animal","1"
"290","party","very-high",4.9,"l","spring","slash-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_flowers","Pattern_solid","2"
"130","casual","low",4.65032258064516,"m","summer","v-neck","full","natural","Material_acrylic","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"343","sexy","low",4.8,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"165","casual","average",4.65032258064516,"l","winter","open","short","natural","Material_mix","FabricType_poplin","Decoration_applique","Pattern_solid","2"
"347","sexy","average",4.7,"m","autumn","slash-neck","sleevless","natural","Material_nylon","FabricType_chiffon","Decoration_rivet","Pattern_solid","1"
"155","sexy","average",4.65032258064516,"s","autumn","slash-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"182","casual","low",4.7,"free","spring","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_floral","1"
"196","party","average",5,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"444","sexy","low",4.8,"free","spring","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_striped","2"
"475","sexy","low",4.65032258064516,"free","summer","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"369","vintage","average",4.7,"m","summer","v-neck","short","natural","Material_rayon","FabricType_chiffon","Decoration_beading","Pattern_print","1"
"243","casual","average",4.8,"m","winter","o-neck","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"368","casual","average",4.7,"l","winter","o-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"172","sexy","medium",4.6,"l","summer","o-neck","short","natural","Material_spandex","FabricType_jersey","Decoration_lace","Pattern_solid","1"
"257","party","very-high",4.65032258064516,"m","spring","v-neck","threequater","natural","Material_lycra","FabricType_sattin","Decoration_applique","Pattern_solid","2"
"82","sexy","low",5,"free","spring","o-neck","full","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_striped","1"
"150","casual","average",4.4,"m","summer","turndowncollor","sleevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"67","casual","medium",4.5,"s","winter","o-neck","full","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_patchwork","2"
"372","casual","average",5,"s","spring","turndowncollor","full","empire","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_solid","1"
"392","cute","low",4.65032258064516,"free","spring","v-neck","sleevless","empire","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"263","party","average",4.5,"l","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"473","work","average",4.8,"m","winter","turndowncollor","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"179","cute","low",4.65032258064516,"free","summer","peterpan-collor","short","empire","Material_cotton","FabricType_broadcloth","Decoration_applique","Pattern_print","1"
"161","vintage","average",4.65032258064516,"s","spring","o-neck","full","natural","Material_mix","FabricType_chiffon","Decoration_embroidary","Pattern_print","1"
"431","brief","average",4.9,"xl","spring","slash-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","1"
"73","casual","low",4.8,"free","spring","o-neck","full","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_solid","1"
"447","casual","average",4.6,"l","summer","bowneck","full","dropped","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"187","cute","medium",4.8,"free","spring","slash-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"498","casual","average",4.6,"l","winter","boat-neck","sleevless","empire","Material_silk","FabricType_broadcloth","Decoration_applique","Pattern_print","2"
"353","casual","low",4.7,"free","summer","o-neck","capsleeves","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"189","casual","low",4.6,"s","spring","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"160","casual","average",4.5,"l","winter","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_bow","Pattern_patchwork","1"
"275","casual","low",4.4,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"138","casual","low",4.7,"m","autumn","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"413","vintage","average",5,"m","summer","v-neck","thressqatar","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"231","casual","average",4.6,"m","winter","v-neck","full","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"483","casual","average",4.6,"m","winter","v-neck","halfsleeve","natural","Material_silk","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"89","brief","average",4.6,"m","winter","peterpan-collor","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"491","casual","average",5,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"111","casual","low",4.7,"free","winter","o-neck","sleevless","natural","Material_cotton","FabricType_jersey","Decoration_lace","Pattern_solid","2"
"404","bohemian","average",4.8,"s","summer","v-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"234","casual","low",4.8,"free","spring","o-neck","sleevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"352","casual","average",4.65032258064516,"free","winter","v-neck","full","natural","Material_cashmere","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"476","casual","high",4.9,"xl","winter","v-neck","full","empire","Material_cotton","FabricType_chiffon","Decoration_sequined","Pattern_solid","1"
"450","casual","low",4.3,"free","spring","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_none","2"
"442","casual","average",4.65032258064516,"xl","spring","bowneck","sleevless","natural","Material_mix","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"80","casual","low",5,"m","summer","v-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_ruffles","Pattern_animal","1"
"384","casual","low",4.7,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"210","casual","low",5,"free","spring","slash-neck","sleevless","empire","Material_spandex","FabricType_chiffon","Decoration_lace","Pattern_striped","2"
"176","cute","low",5,"l","winter","o-neck","threequarter","natural","Material_silk","FabricType_chiffon","Decoration_sashes","Pattern_print","1"
"149","cute","low",4.5,"l","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"426","casual","average",4.65032258064516,"free","summer","bowneck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"2","vintage","high",4.65032258064516,"l","autumn","o-neck","full","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"146","casual","low",4.4,"free","summer","turndowncollor","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"432","casual","average",4.7,"xl","summer","v-neck","halfsleeve","natural","Material_cotton","FabricType_broadcloth","Decoration_lace","Pattern_print","2"
"127","sexy","low",4.6,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_broadcloth","Decoration_beading","Pattern_solid","1"
"379","casual","average",4.7,"m","autumn","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_striped","2"
"3","brief","average",4.6,"l","spring","o-neck","full","natural","Material_silk","FabricType_chiffon","Decoration_embroidary","Pattern_print","2"
"250","casual","low",4.7,"s","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"349","casual","high",4.65032258064516,"l","winter","v-neck","full","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"300","casual","low",4.4,"free","winter","halter","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_draped","Pattern_solid","2"
"105","vintage","average",4.7,"l","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_button","Pattern_solid","1"
"191","work","low",4.7,"free","summer","o-neck","full","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"282","party","average",4.7,"free","spring","sweetheart","sleevless","empire","Material_rayon","FabricType_chiffon","Decoration_beading","Pattern_solid","2"
"22","brief","low",4,"xl","summer","v-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_pockets","Pattern_solid","1"
"156","casual","low",4.65032258064516,"free","spring","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"252","party","very-high",5,"m","spring","slash-neck","sleevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_flowers","Pattern_solid","2"
"332","sexy","low",4.8,"free","spring","slash-neck","sleevless","natural","Material_cotton","FabricType_broadcloth","Decoration_sequined","Pattern_solid","1"
"118","casual","low",4.5,"free","autumn","v-neck","short","natural","Material_silk","FabricType_worsted","Decoration_lace","Pattern_solid","1"
"98","vintage","low",4.8,"s","summer","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_ruffles","Pattern_print","1"
"433","casual","average",4.65032258064516,"free","autumn","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"415","bohemian","average",4.6,"m","spring","o-neck","sleevless","natural","Material_shiffon","FabricType_shiffon","Decoration_sashes","Pattern_solid","1"
"472","cute","high",4.3,"m","spring","boat-neck","full","natural","Material_polyster","FabricType_terry","Decoration_lace","Pattern_solid","2"
"255","party","very-high",4.65032258064516,"m","winter","v-neck","cap-sleeves","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"448","cute","medium",4.9,"s","summer","bowneck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_bow","Pattern_patchwork","2"
"17","bohemian","medium",5,"free","autumn","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_patchwork","2"
"457","casual","low",4.8,"l","summer","v-neck","thressqatar","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"367","sexy","average",4.8,"s","winter","v-neck","sleevless","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"90","casual","average",4.65032258064516,"l","spring","boat-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_applique","Pattern_patchwork","2"
"31","casual","low",4.65032258064516,"m","spring","o-neck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_applique","Pattern_solid","2"
"341","casual","low",4.7,"m","winter","o-neck","full","empire","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"362","vintage","low",4.65032258064516,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_batik","Decoration_lace","Pattern_print","2"
"143","casual","average",4.7,"m","autumn","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_animal","2"
"124","work","average",4.6,"l","spring","o-neck","short","empire","Material_cotton","FabricType_jersey","Decoration_lace","Pattern_patchwork","1"
"471","casual","low",4.4,"free","summer","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_animal","1"
"20","sexy","average",4.5,"l","autumn","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_beading","Pattern_solid","1"
"481","casual","average",4.65032258064516,"l","spring","o-neck","sleevless","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_sequined","Pattern_solid","1"
"114","party","average",5,"m","spring","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"227","casual","average",4.8,"m","autumn","v-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_embroidary","Pattern_print","2"
"287","party","average",5,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"70","bohemian","average",5,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_batik","Decoration_lace","Pattern_print","2"
"168","casual","high",4.9,"s","spring","o-neck","threequarter","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_dot","2"
"58","bohemian","low",4.5,"m","summer","v-neck","sleevless","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_print","2"
"185","bohemian","average",4.65032258064516,"l","winter","turndowncollor","full","natural","Material_mix","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"57","sexy","low",4.6,"l","autumn","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"219","casual","average",4.6,"m","spring","o-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"113","cute","average",4.8,"l","autumn","slash-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_hollowout","Pattern_solid","1"
"443","sexy","average",4.65032258064516,"free","autumn","o-neck","full","natural","Material_polyster","FabricType_sattin","Decoration_hollowout","Pattern_solid","1"
"5","bohemian","low",4.65032258064516,"m","summer","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_print","1"
"33","brief","average",4.3,"l","spring","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_bow","Pattern_solid","2"
"190","vintage","medium",4.7,"free","spring","turndowncollor","sleevless","natural","Material_mix","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"378","casual","low",5,"m","spring","o-neck","sleevless","natural","Material_spandex","FabricType_jersey","Decoration_lace","Pattern_print","1"
"16","cute","average",4.7,"l","spring","o-neck","short","natural","Material_cotton","FabricType_chiffon","Decoration_sashes","Pattern_solid","2"
"274","party","very-high",4.2,"l","winter","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"265","party","high",4.6,"m","winter","sweetheart","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"157","cute","medium",5,"free","winter","o-neck","sleevless","natural","Material_silk","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"406","casual","average",3,"m","spring","turndowncollor","short","empire","Material_polyster","FabricType_chiffon","Decoration_sashes","Pattern_patchwork","1"
"222","casual","average",4.65032258064516,"s","summer","o-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"322","novelty","medium",4.2,"m","winter","o-neck","halfsleeve","natural","Material_polyster","FabricType_chiffon","Decoration_hollowout","Pattern_animal","2"
"65","casual","average",5,"m","autumn","v-neck","short","natural","Material_cotton","FabricType_broadcloth","Decoration_beading","Pattern_solid","1"
"441","sexy","low",4.65032258064516,"free","winter","v-neck","sleevless","dropped","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"7","novelty","average",4.65032258064516,"free","autumn","o-neck","short","natural","Material_polyster","FabricType_broadcloth","Decoration_lace","Pattern_solid","1"
"259","party","high",4.65032258064516,"m","spring","sweetheart","sleevless","natural","Material_nylon","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"94","casual","medium",4.65032258064516,"s","spring","v-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_animal","2"
"400","brief","low",4.7,"m","winter","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_patchwork","1"
"416","party","average",4.8,"m","summer","o-neck","full","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","2"
"4","cute","low",4.5,"m","summer","o-neck","butterfly","natural","Material_chiffonfabric","FabricType_chiffon","Decoration_bow","Pattern_dot","1"
"235","casual","average",4.6,"m","autumn","o-neck","short","empire","Material_polyster","FabricType_chiffon","Decoration_applique","Pattern_dot","1"
"357","sexy","low",4.7,"free","summer","v-neck","sleevless","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"54","sexy","average",4.5,"m","spring","o-neck","threequarter","natural","Material_polyster","FabricType_chiffon","Decoration_lace","Pattern_geometric","1"
"388","work","average",4.65032258064516,"m","summer","v-neck","sleevless","natural","Material_cotton","FabricType_worsted","Decoration_lace","Pattern_solid","2"
"316","sexy","low",5,"free","spring","v-neck","sleevless","empire","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
"170","casual","low",4.5,"free","winter","o-neck","full","natural","Material_mix","FabricType_worsted","Decoration_applique","Pattern_solid","1"
"373","casual","low",1,"m","spring","o-neck","halfsleeve","natural","Material_cotton","FabricType_chiffon","Decoration_lace","Pattern_solid","1"
