"","Latitude","Altitude","Rainfall","Frosts","Year","Sp","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","Utility"
"220",-41.2,160,1000,-3,1981,"fr",2447,11.2,9.1,88,4,3.5,3,3.5,3,"1"
"462",-41.1333333333333,220,1050,-2,1983,"nd",2569,20.86,9.89,25,1.5,3,3,3,3,"0"
"555",-41.2666666666667,300,1200,-3,1982,"fr",2552,16.83,10.31,75,4,3,4,4,3,"1"
"732",-40.6,100,1250,-2,1983,"fa",2548,41.63,12.64,28,4.2,3.2,2.3,1.9,1.7,"0"
"235",-41.2,160,1000,-3,1981,"jo",1595,8,4.9,88,3.5,1.5,4,4,4,"0"
"680",-39.7166666666667,150,900,-2,1986,"te",2768,32.09,12.03,30.2673743245764,3.22668169196556,3.06114857719826,1.26571989150353,1.29577923766592,0.710028635700736,"0"
"637",-40.95,180,1080,-3,1981,"ov",2571,23.55,14.36,37,4,2,3,3.5,2,"1"
"558",-41.2666666666667,300,1200,-3,1982,"nd",1595,16.54,7.23,100,3,2.5,3,4,2,"1"
"173",-40.95,180,1080,-3,1981,"fa",1482,11.03,6.25,38,3.5,3.5,3,2.5,2,"0"
"353",-40.6,150,1250,-3,1983,"fa",2548,22.6,12.61,63,3.5,3,2,2,1.5,"0"
"83",-39.8333333333333,70,1000,-2,1981,"fa",1978,14.6,11.1,100,4,3,3.5,3.5,3.3,"1"
"488",-41.1333333333333,220,1050,-2,1983,"fr",2552,14.25,7.23,63,4,3,3,2.8,2,"0"
"407",-40.95,180,1080,-3,1983,"fr",2552,10.39,8.66,38,3,3.5,3,4,3,"0"
"324",-40.95,180,1080,-3,1982,"ov",1259,7.65,8.24,25,2,2,4,4,4,"0"
"208",-40.95,180,1080,-3,1981,"re",1787,3.77,4.88,88,4,3.5,4,4,4,"1"
"617",-40,150,1300,-2,1983,"fa",2548,26.51,7.66,10,2.5,3,3,3,3,"0"
"185",-40.95,180,1080,-3,1981,"re",1787,11.58,8.37,63,4,3.5,4,4,3.5,"1"
"656",-40.95,180,1080,-3,1981,"re",2431,10.25,10.02,36,3,3,4,4.5,3.5,"0"
"383",-40.6,150,1250,-3,1983,"re",2550,23.1,18.59,63,4,3.5,3.3,3.3,3,"1"
"631",-40.95,180,1080,-3,1981,"co",2562,7.99,5.49,17,2,3,2.5,3.3,3,"0"
"253",-41.2,160,1000,-3,1981,"re",2430,13,10.4,4,3,3.5,2.5,2,4,"0"
"180",-40.95,180,1080,-3,1981,"ob",1337,8.63,8.21,100,4,3,3.5,3.5,3.5,"1"
"464",-41.1333333333333,220,1050,-2,1983,"ni",2568,20.29,9.27,88,2,2.5,3,3,2,"0"
"162",-40.95,180,1080,-3,1981,"si",2435,14.93,9.39,63,4,3,3,2.5,2.5,"1"
"221",-41.2,160,1000,-3,1981,"fr",1786,18.9,11.8,75,5,3,2.5,2.5,2,"0"
"163",-40.95,180,1080,-3,1981,"rd",1524,3.21,3.72,50,1.5,2,2,4,4,"0"
"716",-39.7166666666667,150,900,-2,1986,"nd",3068,29.76,13.55,42.9302813861472,3.57814884245196,3.29234725188743,2.22452701539973,2.3173270128707,1.72528563194671,"0"
"454",-41.1333333333333,220,1050,-2,1983,"fr",2552,18.88,9.59,75,3,3,3,3.3,3,"1"
"444",-41.1333333333333,220,1050,-2,1983,"nd",1596,16.18,7.67,88,3.5,3,2.5,4,3,"1"
"167",-40.95,180,1080,-3,1981,"bxs",1111,6.29,4.62,100,3,2.5,2,2,2.5,"0"
"623",-40,150,1300,-2,1983,"nd",2634,40.22,18.22,10,4,4.5,3,3.5,2,"1"
"190",-40.95,180,1080,-3,1981,"ag",1094,5.26,5.48,63,2,1.5,2,2,2,"0"
"161",-40.95,180,1080,-3,1981,"re",1787,5.3,4.88,38,3.5,3,4,4,4,"1"
"291",-40.95,180,1080,-3,1982,"fr",2552,1.82,2.43,13,1,2.5,3,3,3,"0"
"395",-40.95,180,1080,-3,1983,"ob",2458,8.46,7.05,13,2,3,3,3,3,"0"
"673",-39.7166666666667,150,900,-2,1986,"nd",1596,25.84,11.76,46.0816902402886,3.36284067404099,3.08884444547593,2.30228145515747,2.41338208907785,1.89534340948856,"0"
"618",-40,150,1300,-2,1983,"fr",2552,14.24,7.12,10,2,3,3,4,4,"0"
"513",-41.2666666666667,300,1200,-3,1982,"re",2432,8.92,6.14,75,2.5,3,4,4,3.5,"0"
"588",-40,150,1300,-2,1983,"ob",2570,24.87,11.66,40,3.3,3.4,3.5,4.1,3.4,"1"
"621",-40,150,1300,-2,1983,"nd",1596,33.81,10.93,10,3.3,4,3.3,4,2.7,"1"
"639",-40.95,180,1080,-3,1981,"re",2431,17.08,10.25,7,2.5,3,3,3.5,3,"0"
"715",-39.7166666666667,150,900,-2,1986,"nd",1596,30.15,13.73,45.2604947589622,3.49862008421244,3.18681010686541,2.32750003851405,2.42859833965307,1.86923383664172,"0"
"368",-40.6,150,1250,-3,1983,"re",2574,24.4,20.33,75,4.5,3.5,3.3,3.2,2.8,"1"
"424",-40.95,180,1080,-3,1983,"co",1,9.12,9.67,50,3,4,3,3,3,"0"
"472",-41.1333333333333,220,1050,-2,1983,"am",1592,19.34,8.3,100,3.5,3.5,2.5,3.5,2.5,"1"
"482",-41.1333333333333,220,1050,-2,1983,"ob",1522,17.84,8.83,88,3.5,3,3,3,2.7,"1"
"56",-40.1833333333333,130,1000,-3,1980,"mn",1362,4.7,5.5,20,1,1.5,2,3,3,"0"
"25",-39.6333333333333,100,850,-2,1980,"ni",2088,17.15,8.22,60,5,2.7,3.5,3,2,"1"
"709",-39.7166666666667,150,900,-2,1986,"am",2770,15.23,6.96,43.2225714831484,3.03742295278928,2.91034784622761,1.9436829004464,2.05915956105536,1.61174842587865,"0"
"81",-39.8333333333333,70,1000,-2,1981,"el",1338,15.8,10,38,3.5,3.5,3.3,3.5,3,"0"
"663",-39.7166666666667,150,900,-2,1986,"am",3266,21.86,10,41.1480917856387,3.2776142862048,3.0998713203437,1.9486986145259,2.04566694147344,1.52230547688154,"0"
"429",-40.95,180,1080,-3,1983,"ni",2547,24.73,14.19,88,4.5,3,3,3,2.8,"1"
"222",-41.2,160,1000,-3,1981,"nd",1596,11.6,8.9,100,4,3,4,4,4,"1"
"445",-41.1333333333333,220,1050,-2,1983,"nd",2569,18.44,8.74,100,3.5,3.5,2.8,4,2.8,"1"
"203",-40.95,180,1080,-3,1981,"ob",2469,7.68,8,88,4.5,3,4,4,4,"1"
"406",-40.95,180,1080,-3,1983,"fa",2548,23.63,11.82,88,4.5,4,3,2.5,2,"1"
"685",-39.7166666666667,150,900,-2,1986,"am",3267,19.91,13.63,41.0602357621528,3.38808622604924,3.17840024817679,2.00431698520119,2.09656810690281,1.54350685667445,"0"
"3",-39.6333333333333,100,850,-2,1980,"ma",1362,10.32,6.5,50,2.3,2.5,3,3.5,3,"0"
"179",-40.95,180,1080,-3,1981,"ob",2469,9.88,8.94,88,4,3,3.5,3.5,3.5,"1"
"147",-40.95,180,1080,-3,1981,"ag",1094,2.86,3.2,25,2,2,2,2,2,"0"
"463",-41.1333333333333,220,1050,-2,1983,"ni",2547,20.31,9.27,100,4,2.5,2.8,2.5,2.5,"1"
"384",-40.6,150,1250,-3,1983,"re",2553,20.34,18.45,75,3.5,3,3.3,3.3,3,"1"
"533",-41.2666666666667,300,1200,-3,1982,"ob",2570,10.16,7.74,100,3,3,4,4,4,"1"
"260",-41.2,160,1000,-3,1981,"jo",1595,3.1,2.9,2,1.5,3,3,3.5,1,"0"
"205",-40.95,180,1080,-3,1981,"pu",1598,6.78,5.62,63,3,4,2.5,3,2,"0"
"60",-40.1833333333333,130,1000,-3,1980,"ov",1521,11.3,10,40,2.7,2,3.2,4,3,"0"
"321",-40.95,180,1080,-3,1982,"ka",1171,11.62,11.62,2,2,2,4,3,3,"0"
"181",-40.95,180,1080,-3,1981,"ov",1785,4.39,4.03,88,1.5,1.5,2,2,3,"0"
"133",-39.8333333333333,70,1000,-2,1981,"jo",1595,7.8,5.3,50,1,1.5,4,4,4,"0"
"106",-39.8333333333333,70,1000,-2,1981,"fr",1339,33.8,16,50,5,3,2,2,0.5,"1"
"542",-41.2666666666667,300,1200,-3,1982,"re",2553,17.95,13.66,100,5,3,4.5,4.5,4,"1"
"613",-40,150,1300,-2,1983,"re",2553,39.69,18.25,30,3.9,3.8,4.2,4.1,3.6,"1"
"279",-41.2,160,1000,-3,1981,"re",1787,13,9,88,4,3,3.5,3,3,"1"
"568",-41.2666666666667,300,1200,-3,1982,"re",2550,14.59,8.68,100,3,2,4,3,3,"0"
"373",-40.6,150,1250,-3,1983,"nd",1596,19.04,14.75,50,3.5,4,2.5,2.5,2,"1"
"726",-40.4916650804931,150,1750,-2,1986,"am",2775.74086829481,27.68,12.64,45.5740667642689,3.65223655860395,3.45246568553228,2.41033589771945,2.53742590043507,1.95399415262339,"0"
"164",-40.95,180,1080,-3,1981,"sm",1340,5.93,6.48,100,1.8,1.8,2,2,3,"0"
"702",-39.7166666666667,150,900,-2,1986,"te",1609,21.89,8.21,34.0189121709187,2.86501240371212,2.7620601655574,1.29779611413502,1.35705563489089,0.888783563379772,"0"
"99",-39.8333333333333,70,1000,-2,1981,"ag",1094,7.8,7.4,63,1,1,3,3,3,"0"
"562",-41.2666666666667,300,1200,-3,1982,"ob",2570,16.93,8.1,75,2.5,2,2.5,2.5,2,"0"
"534",-41.2666666666667,300,1200,-3,1982,"ov",1788,6.06,4.2,100,1.5,1.5,2,2,1,"0"
"150",-40.95,180,1080,-3,1981,"jo",1595,5.34,3.05,75,2.7,1,3,4,4,"0"
"550",-41.2666666666667,300,1200,-3,1982,"br",2621,5.1,2.66,75,3,2,2,2,3,"0"
"169",-40.95,180,1080,-3,1981,"br",1113,3.98,3.98,75,3,2,3,4,3,"0"
"520",-41.2666666666667,300,1200,-3,1982,"br",2620,7.3,5.91,100,2,2,3,4,4,"0"
"518",-41.2666666666667,300,1200,-3,1982,"am",2560,6.35,4.62,100,3,4,2,3,4,"0"
"255",-41.2,160,1000,-3,1981,"re",1787,10.3,10,4,3,4,3,3,3,"0"
"18",-39.6333333333333,100,850,-2,1980,"pu",1523,18.71,10.9,100,4,4,3.3,4,3,"1"
"44",-39,200,1400,-2,1980,"pu",1523,31.72,9.96,58.1706634779786,4.5,4,3.5,3.5,3,"1"
"647",-40.95,180,1080,-3,1981,"co",2562,8.83,8.6,63,3,3.5,3.5,3.5,3,"0"
"91",-39.8333333333333,70,1000,-2,1981,"ov",1785,7.2,6,50,1.3,1.3,4,4,4,"0"
"595",-40,150,1300,-2,1983,"rd",2575,19.91,6.77,40,1.6,1.8,2.3,2.5,2.3,"0"
"32",-39,200,1400,-2,1980,"nd",1596,25.99,9.6,58.7861566665555,4,4,3,4,2.7,"1"
"611",-40,150,1300,-2,1983,"pu",2573,8.72,10.17,10,1.5,4,4,4,4,"0"
"119",-39.8333333333333,70,1000,-2,1981,"ro",1192,8.9,5.2,63,2.5,1.8,3,3,3,"0"
"574",-41.2666666666667,300,1200,-3,1982,"sm",1340,2.63,2.39,50,1,1.5,1,2,2,"0"
"690",-39.7166666666667,150,900,-2,1986,"co",2562,33.6,14.17,42.8873320262573,3.62595872190741,3.29355792055417,2.25264625724018,2.3371283103374,1.72922353324714,"0"
"459",-41.1333333333333,220,1050,-2,1983,"fa",1482,21.8,8.52,100,2,3,3,3,3,"0"
"541",-41.2666666666667,300,1200,-3,1982,"re",2432,12.39,10.77,75,3,3,4,4,4,"1"
"89",-39.8333333333333,70,1000,-2,1981,"nd",1596,15.3,10.8,75,3,3,3,4,3.5,"1"
"21",-39.6333333333333,100,850,-2,1980,"co",1520,10.75,5.91,50,2.7,4,3.3,3.5,3,"0"
"79",-39.8333333333333,70,1000,-2,1981,"br",1112,14,10,100,2.5,1.5,3,4,4,"0"
"687",-39.7166666666667,150,900,-2,1986,"am",3269,25.71,11.74,40.411639489079,3.39833897636504,3.18707833904759,1.97072748060282,2.05878258073919,1.49864292624444,"0"
"707",-39.7166666666667,150,900,-2,1986,"am",3268,14.31,6.53,42.5852765662924,3.0391640151592,2.9278985485965,1.90410240699878,2.01861867355005,1.56780385472504,"0"
"192",-40.95,180,1080,-3,1981,"br",1112,7.83,6.68,100,3,1.8,3.5,4,4,"1"
"531",-41.2666666666667,300,1200,-3,1982,"nd",2634,17.77,10.42,50,3,3,2,2,2,"0"
"71",-40.1833333333333,130,1000,-3,1980,"fr",1487,37.6,13,10,5,4,2,2,1,"1"
"458",-41.1333333333333,220,1050,-2,1983,"cr",1252,12.52,9.23,100,3,2.8,2,2.8,2,"0"
"315",-40.95,180,1080,-3,1982,"re",2574,1.17,2.34,25,1,3,3,3,3,"0"
"480",-41.1333333333333,220,1050,-2,1983,"ni",2547,18.16,8.29,75,4,2.3,3.3,3.3,3,"1"
"468",-41.1333333333333,220,1050,-2,1983,"pa",2750,14.5,8.17,88,1,3,3,3,3,"0"
"58",-40.1833333333333,130,1000,-3,1980,"ni",2088,10.3,9.4,80,3,2.5,3,3,3,"1"
"686",-39.7166666666667,150,900,-2,1986,"am",3268,17.69,8.08,41.940761948633,3.14583843737839,3.00486342626657,1.9239547991215,2.03061662869617,1.54733879683544,"0"
"114",-39.8333333333333,70,1000,-2,1981,"ov",1785,9.8,7.5,75,1.7,1.3,3.3,4,3.5,"0"
"320",-40.95,180,1080,-3,1982,"el",2638,0.58,1.75,25,1.5,3,3,3,3,"0"
"34",-39,200,1400,-2,1980,"ov",1521,33.3,13.32,52.4086503925556,4,2.3,3.3,2,1,"1"
"727",-40.3804968211221,150,1750,-2,1986,"co",2647.26089737942,30.93,13.05,47.775008132451,3.78678145189068,3.50755052431873,2.62243426797455,2.75054871767616,2.14329290766239,"0"
"489",-41.1333333333333,220,1050,-2,1983,"fr",2751,12.35,6.27,71,4,4,2.5,3.5,2.5,"1"
"598",-40,150,1300,-2,1983,"co",2562,33.19,14.42,30,3.6,3.7,3.2,3.7,3.2,"1"
"431",-40.95,180,1080,-3,1983,"ob",1522,1.41,2.82,13,1,3,3,3,3,"0"
"535",-41.2666666666667,300,1200,-3,1982,"ov",1259,10.37,5.6,100,3,2,2,2,1,"0"
"521",-41.2666666666667,300,1200,-3,1982,"br",2621,8.11,4.98,100,3,1,4,4,4,"0"
"301",-40.95,180,1080,-3,1982,"sm",1340,2.1,3.38,50,1,1,3,3,3,"0"
"668",-39.7166666666667,150,900,-2,1986,"am",2460,29.6,13.52,40.9918713460048,3.47046472987148,3.21265069430714,2.04884268520698,2.13292619427891,1.55549110110743,"0"
"322",-40.95,180,1080,-3,1982,"ka",2631,9.06,6.97,25,1.3,1,2,2,3,"0"
"571",-41.2666666666667,300,1200,-3,1982,"re",2553,17.72,11.93,75,4,3,5,4,4,"1"
"447",-41.1333333333333,220,1050,-2,1983,"ni",2568,16.7,7.64,100,3.5,2.8,3,3,2,"1"
"701",-39.7166666666667,150,900,-2,1986,"te",2768,29.91,11.22,30.6638605043591,3.16508993174563,3.01665986144282,1.25573091535632,1.29046860255518,0.723626082965877,"0"
"281",-41.2,160,1000,-3,1981,"si",2435,6,7,13,3,3,4,4,4,"0"
"238",-41.2,160,1000,-3,1981,"br",1112,7.4,6.6,3,2,3,3,3,1,"0"
"122",-39.8333333333333,70,1000,-2,1981,"sm",1340,20.1,6.9,88,3,2.5,1,0.5,0,"0"
"212",-41.2,160,1000,-3,1981,"ag",1094,12,10.3,38,2.8,3.2,2.8,3.2,3,"0"
"5",-39.6333333333333,100,850,-2,1980,"ni",2088,14.5,10.78,90,4,2.7,3.3,3,3,"1"
"469",-41.1333333333333,220,1050,-2,1983,"re",2553,11.28,6.41,50,4,3.5,3.5,3.5,3,"1"
"20",-39.6333333333333,100,850,-2,1980,"si",1525,17.52,9.22,60,4,3,3,3,2,"1"
"183",-40.95,180,1080,-3,1981,"re",2428,6.48,6.42,38,4,3.5,4,4,3.5,"1"
"449",-41.1333333333333,220,1050,-2,1983,"ob",2570,16.55,8.21,100,3.5,3,3.5,3.3,3,"1"
"394",-40.95,180,1080,-3,1983,"nd",2569,16.69,11.67,75,3,3.8,3.4,4,3.5,"0"
"505",-41.2666666666667,300,1200,-3,1982,"ob",2570,6.05,5.44,100,3,2.5,3.5,3.5,3,"0"
"456",-41.1333333333333,220,1050,-2,1983,"am",2560,16.5,7.08,75,3,3.5,2.5,4,3,"1"
"69",-40.1833333333333,130,1000,-3,1980,"pu",1523,20.8,12,20,3,4,3,3.5,3,"0"
"388",-40.6,150,1250,-3,1983,"nd",2634,26.28,20.11,25,3.1,3,3,3,2,"1"
"400",-40.95,180,1080,-3,1983,"re",2553,9.73,11.04,75,3,3,3.5,4,3.5,"1"
"296",-40.95,180,1080,-3,1982,"ov",1259,9.65,8.01,100,3,2,3,3.5,3,"0"
"460",-41.1333333333333,220,1050,-2,1983,"fa",2548,13.7,5.35,88,4,3,2,3,1.5,"1"
"502",-41.2666666666667,300,1200,-3,1982,"nd",2569,12.5,6.62,100,3,3,3,3,3,"1"
"132",-39.8333333333333,70,1000,-2,1981,"fr",2447,21.4,12.7,75,4.6,4,3,3,3,"1"
"42",-39,200,1400,-2,1980,"ob",1522,39.72,13.82,54.4683480102951,5,4,3.3,3,2,"1"
"123",-39.8333333333333,70,1000,-2,1981,"ag",1094,13.5,4,13,0.5,0,1,1,1,"0"
"671",-39.7166666666667,150,900,-2,1986,"nd",3271,18.73,8.53,44.6980475540532,3.24415730386901,3.05800568562503,2.14642587523302,2.26350974984198,1.77197269442993,"0"
"427",-40.95,180,1080,-3,1983,"fr",2552,1.59,2.89,38,2.5,3,3,3,3,"0"
"688",-39.7166666666667,150,900,-2,1986,"am",2770,11.25,5.14,43.9809757753244,2.91200789995949,2.81986035454774,1.92038281085525,2.0450976707113,1.63585713710868,"0"
"669",-39.7166666666667,150,900,-2,1986,"co",2562,40.44,17.06,41.6080238802803,3.83245659413685,3.44261064240476,2.28916006860385,2.35825128893278,1.68729137087317,"0"
"366",-40.6,150,1250,-3,1983,"fr",2552,31.73,18.88,63,3.8,3.2,3,3,2,"1"
"264",-41.2,160,1000,-3,1981,"br",1113,3.3,2.7,100,1.5,1,2,3,3,"0"
"177",-40.95,180,1080,-3,1981,"nd",1596,2.73,3.77,100,2.5,4,3.5,4.5,4,"1"
"721",-39.7166666666667,150,900,-2,1986,"ra",1825,19.63,8.97,35.7808800624197,2.80203816936846,2.67736302836036,1.37447424233267,1.43956709445243,0.996489686617388,"0"
"303",-40.95,180,1080,-3,1982,"am",2560,4.39,5.19,50,2.5,3.5,3,4.5,4,"0"
"92",-39.8333333333333,70,1000,-2,1981,"pu",1598,15.9,12.8,100,4,4,3.3,4,3,"1"
"399",-40.95,180,1080,-3,1983,"pu",2573,5.19,4.44,13,1.5,2.5,3,3,3,"0"
"302",-40.95,180,1080,-3,1982,"am",1592,7.5,8.08,25,2,3,3,4,4,"0"
"230",-41.2,160,1000,-3,1981,"re",2431,9,9.6,75,4,3,4,3,2.5,"1"
"139",-39.8333333333333,70,1000,-2,1981,"pu",1598,14,10.3,100,3.5,4,2,3,2,"0"
"8",-39.6333333333333,100,850,-2,1980,"pu",1523,19.05,11.26,100,5,4.5,3.5,4,2,"1"
"215",-41.2,160,1000,-3,1981,"br",1113,8.6,9.5,100,2,1.5,4,4,4,"0"
"189",-40.95,180,1080,-3,1981,"nc",1780,2.6,3.64,38,1,2,2,2,3,"0"
"397",-40.95,180,1080,-3,1983,"ov",2571,14.82,14.23,50,3,1.7,4,4,3.5,"1"
"115",-39.8333333333333,70,1000,-2,1981,"pu",1598,15.2,14.4,100,4.5,4,3,4,3,"1"
"718",-39.7166666666667,150,900,-2,1986,"pu",3273,25.85,11.06,42.4400522938522,3.40394876940314,3.15803653987148,2.10034959792093,2.19464112032637,1.64411380598314,"0"
"159",-40.95,180,1080,-3,1981,"re",2428,3.63,5.02,63,4,3.5,4,4,3.5,"1"
"401",-40.95,180,1080,-3,1983,"rd",2575,13.54,8.81,88,2.7,2,2.5,3,3,"0"
"453",-41.1333333333333,220,1050,-2,1983,"rd",2575,6.65,5.08,88,2.5,2.5,2.5,3,3,"0"
"286",-40.95,180,1080,-3,1982,"br",2620,2.29,3.2,50,1,1,3,3,3,"0"
"736",-40.6,100,1250,-2,1983,"re",2155.64738557248,22.34,8.84,25,3.8,3.5,3,3.5,3,"0"
"109",-39.8333333333333,70,1000,-2,1981,"jo",1595,6.5,4.4,63,0.5,0.5,4,4.5,4,"0"
"678",-39.7166666666667,150,900,-2,1986,"ra",1257,21.07,9.62,36.4352418411056,2.81163753827957,2.6657092099641,1.42162204858325,1.48694246424652,1.04420458659655,"0"
"7",-39.6333333333333,100,850,-2,1980,"ov",1521,13.93,9.77,80,4,2,3,3,3,"1"
"112",-39.8333333333333,70,1000,-2,1981,"ob",1337,22.2,14.6,63,5,3,4,4,3.2,"1"
"27",-39.6333333333333,100,850,-2,1980,"ov",1521,8.78,5.79,50,2.5,2,3.2,3.3,3,"0"
"524",-41.2666666666667,300,1200,-3,1982,"fa",1482,2.37,2.73,50,1,3,3,3,3,"0"
"683",-39.7166666666667,150,900,-2,1986,"te",3274,26.87,10.08,30.3912028755273,3.11038716258662,2.99367840598186,1.20704244949568,1.2451605411573,0.692272635324575,"0"
"409",-40.95,180,1080,-3,1983,"nd",2569,11.23,10.34,50,3,3.5,3.3,4,3.5,"1"
"136",-39.8333333333333,70,1000,-2,1981,"ob",1337,24.5,13.5,75,5,3,4,4,2.5,"1"
"411",-40.95,180,1080,-3,1983,"ni",2568,11.66,8.57,75,3,2.5,2.5,2.5,2.5,"0"
"691",-39.7166666666667,150,900,-2,1986,"nd",3270,35.78,16.29,41.4544572860295,3.77996675060068,3.44457158327636,2.24576484087661,2.32335430902821,1.66871522246555,"0"
"243",-41.2,160,1000,-3,1981,"fr",1339,15,11.6,4,3,2,2,2,3,"0"
"318",-40.95,180,1080,-3,1982,"am",1592,11.77,8.08,75,3,4,3,4,3,"1"
"317",-40.95,180,1080,-3,1982,"sm",1340,2.1,3.85,25,1,2,3,3,3,"0"
"443",-41.1333333333333,220,1050,-2,1983,"fa",2548,15.98,6.24,63,3.5,4,2.8,2.8,2.5,"0"
"266",-41.2,160,1000,-3,1981,"fa",1978,11,8.1,100,4,3,2,2,2,"1"
"158",-40.95,180,1080,-3,1981,"pu",1598,10.75,9.26,88,4,4,4,4,4,"1"
"567",-41.2666666666667,300,1200,-3,1982,"pu",2573,10.78,6.62,100,2.5,4,3,3,2,"0"
"262",-41.2,160,1000,-3,1981,"bxs",1111,1.6,1.8,88,1,2,3,3,3,"0"
"376",-40.6,150,1250,-3,1983,"ni",2568,47.73,18.55,13,3.5,2.7,2,2,2,"1"
"538",-41.2666666666667,300,1200,-3,1982,"pu",2573,7.84,4.29,25,2,4,1,2,3,"0"
"175",-40.95,180,1080,-3,1981,"fr",2447,9.99,6.83,88,4,3,3.5,3,2.5,"1"
"261",-41.2,160,1000,-3,1981,"ag",1094,10.5,6,25,3,3,2,3,2.5,"0"
"166",-40.95,180,1080,-3,1981,"ag",1094,1.03,2.17,13,2,2,2,2,2,"0"
"328",-40.95,180,1080,-3,1982,"rd",2575,4.84,4.13,50,2,1.5,3,3,3,"0"
"337",-40.6,150,1250,-3,1983,"ni",2547,20.8,10.23,13,3,3,3,2.5,3,"0"
"585",-40,150,1300,-2,1983,"nd",2569,22.15,14.57,20,3,4,3,3.4,3,"1"
"417",-40.95,180,1080,-3,1983,"re",2550,9.15,8.42,25,3,3.5,3.5,4,4,"0"
"4",-39.6333333333333,100,850,-2,1980,"nd",1596,14.8,9.48,70,3.7,3,3.3,4,3.5,"1"
"128",-39.8333333333333,70,1000,-2,1981,"fa",1482,20,13.2,75,4.5,3,4,4,4,"1"
"342",-40.6,150,1250,-3,1983,"pu",2573,21.7,17.42,88,3,3.5,3,3.3,2.3,"1"
"503",-41.2666666666667,300,1200,-3,1982,"nd",2634,7.97,5.88,75,2.5,3,3,3,3.5,"0"
"477",-41.1333333333333,220,1050,-2,1983,"fa",2548,6.34,3.65,100,3,3,2,2.5,2.5,"0"
"125",-39.8333333333333,70,1000,-2,1981,"br",1112,13.1,10.6,88,2,2,3,3,3,"0"
"298",-40.95,180,1080,-3,1982,"pu",2573,15.02,8.04,75,3,4,3,3.2,2.5,"0"
"240",-41.2,160,1000,-3,1981,"el",1338,7.3,5.6,3.5,3,2.5,2.5,2.5,1.5,"0"
"575",-40,150,1300,-2,1983,"am",1592,43.29,17.2,20,4.5,4.5,3.7,4,3,"1"
"391",-40.95,180,1080,-3,1983,"co",1,6.77,7.19,75,3,3,2.7,3,3,"0"
"85",-39.8333333333333,70,1000,-2,1981,"fr",1786,13.3,10.8,75,4,3.8,4,4,4,"1"
"213",-41.2,160,1000,-3,1981,"bxs",1111,15,8.4,88,3,3,3,3,2,"0"
"481",-41.1333333333333,220,1050,-2,1983,"ni",2568,21.09,9.63,63,4,3,4,3.3,3,"1"
"486",-41.1333333333333,220,1050,-2,1983,"re",2553,11.55,6.56,100,3,2.7,3.3,4,4,"1"
"216",-41.2,160,1000,-3,1981,"el",1338,8.2,6.6,63,4,4,3,3,3,"0"
"379",-40.6,150,1250,-3,1983,"ov",1788,7.4,13.38,25,1,2,3.2,3,3,"0"
"259",-41.2,160,1000,-3,1981,"sm",1340,7.7,6.1,2,2,2,2,3,0.5,"0"
"87",-39.8333333333333,70,1000,-2,1981,"jo",1595,5.2,4.3,75,0.5,0.5,4,4,4,"0"
"414",-40.95,180,1080,-3,1983,"ov",2571,8.83,7.91,63,3.5,2.5,3.5,4,4,"1"
"438",-41.1333333333333,220,1050,-2,1983,"am",1592,23.59,9.87,75,3,4,3,4,3,"1"
"323",-40.95,180,1080,-3,1982,"ov",1788,15.31,11.77,75,3,2,4,4,4,"1"
"563",-41.2666666666667,300,1200,-3,1982,"ov",1788,2.68,2.33,75,1,1.5,2,2,2,"0"
"632",-40.95,180,1080,-3,1981,"fa",2426,8.3,5.93,4,2,3.5,3,3,3,"0"
"510",-41.2666666666667,300,1200,-3,1982,"pu",2573,2.45,3.06,50,1.5,4,1,2,3,"0"
"734",-40.6,100,1250,-2,1983,"ni",2568,28.21,9.47,94,4.6,3,2,1.8,1.2,"1"
"344",-40.6,150,1250,-3,1983,"re",2553,25.57,17.43,50,3.7,3,2.7,3,2,"0"
"681",-39.7166666666667,150,900,-2,1986,"te",1609,33.99,12.75,31.8137641951821,3.20855211583845,3.01019123888048,1.35389438454823,1.38709681843061,0.813404096359091,"0"
"283",-41.2,160,1000,-3,1981,"sm",1340,6.2,5.3,100,2,2,2.5,2.5,3,"0"
"405",-40.95,180,1080,-3,1983,"fa",1482,14.03,9.9,63,3.5,4,3.5,3,3,"1"
"546",-41.2666666666667,300,1200,-3,1982,"am",1592,20.43,10.39,75,3,4,2,3,2,"1"
"365",-40.6,150,1250,-3,1983,"rd",2575,3.62,6.03,25,1,3,2.5,2.5,3,"0"
"627",-40,150,1300,-2,1983,"ov",1788,17.33,8.32,40,1.9,2.1,2.5,3,2.8,"0"
"659",-40.95,180,1080,-3,1981,"re",2553,11.96,9.91,33,4,4,4,4,4,"1"
"646",-40.95,180,1080,-3,1981,"bxs",1111,6.92,4.54,48,3,3,2.5,2,2,"0"
"100",-39.8333333333333,70,1000,-2,1981,"bxs",1111,16.4,13.3,100,4.5,3,3.3,3.3,2.7,"1"
"134",-39.8333333333333,70,1000,-2,1981,"ka",1171,13.1,10.1,100,2,2,2,2,2,"0"
"232",-41.2,160,1000,-3,1981,"nc",1780,8.8,5.3,63,3,3,3,4,4,"0"
"54",-39,200,1400,-2,1980,"rd",1524,22.72,11.52,60.625572204022,3,2.5,3.5,3.5,2.8,"1"
