"","surgery","Age","rectal_temperature","pulse","respiratory_rate","temp_extremities","peripheral_pulse","mucous_membranes","capillary_refill_time","pain","peristalsis","abdominal_distension","nasogastric_tube","nasogastric_reflux","rectal_examination","abdomen","packed_cell_volume","total_protein","outcome","surgical_lesion"
"92","no","adult",38.8,50,20,"cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","decreased","normal",42,6.2,"lived","no"
"215","yes","adult",37.8,40,12,"normal","normal","normal pink","<3","alert no pain","normal","none","slight","none","normal","other",38,7,"lived","yes"
"283","yes","adult",38.2,72,18,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",35,6.4,"lived","yes"
"330","yes","adult",39.1,60,10,"cool","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","distended small intestine",44,7.5,"lived","yes"
"274","yes","adult",38.1,76,24,"cool","reduced","normal pink","<3","intermittent mild pain","absent","severe","slight","none","absent","distended large intestine",44,7.5,"euthanized","yes"
"163","yes","adult",38,66,20,"normal","reduced","pale pink","<3","continuous severe pain","hypomotile","none","none","none","decreased","distended large intestine",46,46,"euthanized","yes"
"167","no","adult",38.1,44,24,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal",44,6.3,"lived","no"
"316","yes","adult",38.3,66,30,"warm","reduced","normal pink","<3","depressed","absent","moderate","significant",">1l","absent","distended large intestine",37,6,"lived","yes"
"280","yes","adult",38.6,48,12,"cool","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","absent","distended large intestine",36,67,"lived","no"
"263","yes","adult",37.1,75,36,"cool","normal","pale pink",">=3","intermittent severe pain","absent","slight","slight","<1l","absent","distended small intestine",48,7.4,"died","yes"
"99","no","adult",39.6,108,51,"cool","reduced","dark cyanotic",">=3","depressed","absent","moderate","none",">1l","decreased","distended large intestine",59,8,"lived","no"
"112","yes","adult",38.1,40,24,"warm","normal","normal pink","<3","alert no pain","hypomotile","none","none","none","absent","distended large intestine",39,56,"lived","yes"
"338","no","adult",37.5,44,24,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine",45,5.8,"lived","no"
"72","yes","adult",37.7,56,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"died","yes"
"26","yes","adult",38.3,72,30,"cold","reduced","pale pink",">=3","intermittent mild pain","hypomotile","moderate","slight","none","decreased","distended large intestine",43,7,"lived","yes"
"354","yes","adult",38.1,36,12,"normal","normal","normal pink","<3","alert no pain","normal","none","none","none","normal","distended large intestine",44,7.5,"lived","yes"
"315","no","young",38,92,28,"normal","normal","bright pink","<3","alert no pain","hypomotile","slight","significant","none","absent","distended large intestine",37,6.1,"lived","no"
"37","yes","adult",37.8,72,24,"cool","reduced","normal pink","<3","continuous severe pain","hypomotile","none","slight","none","normal","normal",56,80,"lived","yes"
"61","no","adult",38.5,60,24,"warm","increased","normal pink","<3","alert no pain","normal","slight","slight","none","normal","normal",44,7.7,"lived","no"
"133","no","adult",37.9,40,24,"normal","normal","normal pink","<3","depressed","hypomotile","none","slight","none","absent","firm feces in large intestine",40,5.7,"lived","yes"
"131","no","adult",37.6,88,36,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","<1l","absent","distended large intestine",44,6,"died","yes"
"34","yes","adult",38.1,100,30,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","significant","<1l","absent","distended small intestine",52,6.6,"lived","yes"
"124","no","adult",37.6,48,20,"cool","normal","pale cyanotic","<3","alert no pain","hypermotile","moderate","slight","none","normal","normal",37,5.5,"euthanized","yes"
"240","yes","adult",38,90,30,"cold","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","slight","none","absent","distended large intestine",55,6.1,"died","yes"
"250","yes","adult",39.3,100,51,"cold","absent","dark cyanotic","<3","depressed","absent","none","none","<1l","absent","distended small intestine",66,13,"euthanized","yes"
"253","no","adult",38.1,112,24,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","slight","slight","none","absent","distended large intestine",40,5.3,"lived","no"
"70","no","adult",37,60,20,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","moderate","slight",">1l","absent","distended small intestine",43,7.6,"euthanized","yes"
"152","yes","adult",38.1,100,24,"cool","reduced","pale cyanotic",">=3","intermittent mild pain","absent","severe","slight","none","absent","distended large intestine",68,64,"lived","yes"
"242","yes","adult",38.1,36,32,"normal","normal","pale cyanotic","<3","continuous severe pain","hypomotile","moderate","slight","<1l","absent","distended small intestine",41,5.9,"died","yes"
"353","yes","adult",38.7,34,30,"warm","normal","pale pink","<3","depressed","hypomotile","none","slight","none","absent","distended large intestine",33,69,"euthanized","yes"
"27","yes","adult",37.8,48,12,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","slight","none","none","normal","firm feces in large intestine",37,5.5,"lived","no"
"168","yes","adult",38.4,104,40,"normal","normal","pale pink","<3","depressed","absent","slight","slight","<1l","absent","distended small intestine",55,8.5,"lived","yes"
"147","no","adult",38,44,12,"warm","normal","pale pink","<3","intermittent mild pain","absent","moderate","none",">1l","normal","distended small intestine",33,6.5,"died","yes"
"275","yes","young",38.8,150,50,"normal","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","slight","none","none","absent","distended large intestine",50,6.2,"died","yes"
"209","no","adult",37.5,44,10,"cool","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","decreased","firm feces in large intestine",43,51,"lived","no"
"343","yes","adult",37.7,55,28,"warm","normal","bright pink","<3","depressed","hypomotile","moderate","slight","<1l","absent","distended large intestine",44,7.5,"lived","yes"
"59","no","adult",38.1,96,24,"cool","reduced","pale pink",">=3","continuous severe pain","absent","severe","none",">1l","absent","distended large intestine",60,7.5,"died","yes"
"199","no","adult",38.5,60,40,"cool","normal","bright pink","<3","depressed","hypermotile","slight","slight","none","decreased","other",49,59,"lived","no"
"182","yes","adult",38,60,24,"cool","reduced","dark cyanotic",">=3","continuous severe pain","hypomotile","severe","none","none","absent","distended large intestine",68,7.8,"died","yes"
"324","yes","adult",38.1,84,44,"cold","normal","pale cyanotic",">=3","continuous severe pain","hypomotile","none","none","<1l","absent","distended small intestine",60,6.8,"died","yes"
"11","no","adult",39.1,72,52,"warm","normal","bright pink","<3","depressed","hypermotile","slight","none","none","absent","distended small intestine",50,7.8,"lived","yes"
"362","yes","young",38.2,78,60,"cold","absent","dark cyanotic","<3","intermittent mild pain","hypomotile","moderate","slight","none","normal","distended large intestine",59,5.8,"died","yes"
"188","yes","adult",38.5,60,24,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended large intestine",33,53,"lived","yes"
"255","yes","young",38.8,184,84,"normal","normal","normal pink","<3","intermittent severe pain","hypermotile","moderate","slight","none","increased","distended large intestine",33,3.3,"died","yes"
"248","yes","adult",38,108,60,"warm","reduced","pale cyanotic","<3","intermittent severe pain","hypomotile","moderate","slight","none","decreased","distended small intestine",44,7.5,"lived","yes"
"25","no","adult",37.8,60,42,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"lived","no"
"304","no","adult",38,42,12,"cool","normal","pale pink","<3","alert no pain","hypomotile","none","slight","none","absent","other",37,5.8,"lived","no"
"225","no","adult",38.4,54,24,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","decreased","other",49,7.2,"lived","no"
"322","no","adult",37.5,40,32,"cool","normal","pale pink","<3","intermittent mild pain","normal","moderate","slight","none","absent","distended large intestine",32,6.4,"lived","yes"
"270","yes","adult",37.5,60,50,"cool","reduced","normal pink","<3","intermittent mild pain","hypomotile","slight","slight",">1l","decreased","distended small intestine",35,6.5,"died","yes"
"282","yes","adult",38.1,70,16,"cool","absent","bright red",">=3","depressed","hypomotile","slight","slight","none","absent","distended large intestine",60,7.5,"died","yes"
"157","yes","adult",37.8,60,24,"normal","normal","pale pink",">=3","intermittent mild pain","absent","severe","slight","<1l","absent","distended large intestine",52,75,"euthanized","yes"
"227","yes","young",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",45,6.5,"lived","yes"
"170","no","adult",37.5,44,20,"normal","normal","pale pink","<3","intermittent mild pain","hypermotile","none","slight","none","normal","distended large intestine",35,7.2,"lived","no"
"219","yes","adult",38.1,52,28,"cool","reduced","pale cyanotic","<3","intermittent mild pain","absent","moderate","slight","none","absent","distended small intestine",37,8.1,"lived","yes"
"81","yes","adult",37.3,40,24,"cool","reduced","normal pink","<3","depressed","hypomotile","slight","significant","none","decreased","distended large intestine",36,7.5,"lived","yes"
"96","no","adult",38.1,84,36,"cool","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","other",44,8.5,"lived","yes"
"178","yes","adult",38.1,60,30,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","severe","none","none","absent","distended large intestine",45,70,"lived","yes"
"191","no","young",38.1,100,44,"warm","normal","normal pink","<3","intermittent severe pain","hypermotile","none","slight","none","normal","distended large intestine",37,4.7,"lived","no"
"55","yes","young",38.6,160,20,"cool","normal","bright red","<3","intermittent mild pain","hypomotile","severe","significant","none","absent","distended large intestine",38,7.5,"died","yes"
"195","no","adult",38,44,12,"cool","normal","normal pink","<3","intermittent mild pain","hypermotile","slight","slight","none","normal","distended large intestine",42,64,"lived","no"
"320","yes","adult",39.7,100,30,"cool","normal","dark cyanotic",">=3","intermittent severe pain","absent","moderate","none","none","absent","distended large intestine",65,75,"euthanized","yes"
"160","yes","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent severe pain","hypomotile","none","none","none","absent","distended large intestine",35,58,"lived","yes"
"90","no","adult",38,52,16,"cool","normal","normal pink","<3","depressed","hypomotile","none","slight","<1l","normal","normal",53,86,"lived","yes"
"331","no","adult",37.8,48,16,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","firm feces in large intestine",43,7.5,"lived","no"
"189","yes","adult",38.3,60,16,"cool","normal","normal pink","<3","depressed","hypermotile","none","slight",">1l","normal","distended small intestine",30,6,"lived","yes"
"239","yes","adult",38.1,70,22,"cool","normal","normal pink","<3","continuous severe pain","hypomotile","none","slight","none","absent","distended large intestine",36,65,"euthanized","yes"
"260","no","adult",38,40,25,"cool","normal","normal pink","<3","intermittent severe pain","hypomotile","slight","none","none","absent","distended large intestine",37,69,"lived","no"
"287","no","young",39.5,84,30,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",28,5,"lived","no"
"100","yes","adult",38.2,40,16,"cool","reduced","normal pink","<3","alert no pain","hypomotile","none","slight","none","normal","normal",34,66,"lived","no"
"145","no","adult",38.1,80,32,"cool","reduced","bright pink","<3","depressed","hypomotile","moderate","slight","none","decreased","distended large intestine",50,80,"lived","yes"
"237","no","adult",37.9,54,42,"warm","normal","bright red","<3","intermittent mild pain","hypermotile","none","slight","none","absent","other",47,54,"lived","no"
"1","yes","adult",39.2,88,20,"cool","normal","pale cyanotic","<3","intermittent mild pain","absent","slight","slight","none","absent","other",50,85,"euthanized","no"
"2","no","adult",38.3,40,24,"normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","normal","normal",33,6.7,"lived","no"
"261","no","adult",38.4,48,16,"warm","normal","normal pink","<3","alert no pain","hypomotile","slight","slight","none","absent","other",39,6.5,"lived","no"
"285","yes","adult",38.5,66,24,"normal","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",40,6.7,"lived","yes"
"244","yes","young",38.2,124,88,"normal","reduced","bright pink","<3","depressed","hypomotile","severe","slight","none","absent","distended large intestine",47,8,"lived","yes"
"347","yes","adult",38.1,72,30,"cool","reduced","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine",37,56,"lived","yes"
"149","no","adult",38.7,48,24,"cool","normal","normal pink","<3","alert no pain","hypermotile","none","none","none","normal","distended large intestine",34,63,"lived","no"
"54","no","adult",40.3,114,36,"cool","reduced","normal pink",">=3","depressed","hypomotile","moderate","slight","none","normal","distended large intestine",57,8.1,"euthanized","yes"
"68","no","adult",38.1,52,16,"normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","<1l","absent","distended large intestine",55,7.2,"lived","no"
"231","no","adult",39.5,92,28,"cool","reduced","dark cyanotic","<3","continuous severe pain","absent","none","slight","<1l","absent","distended large intestine",72,6.4,"died","no"
"302","yes","adult",37.7,44,28,"cool","absent","pale pink",">=3","continuous severe pain","absent","severe","none","none","decreased","distended large intestine",45,70,"lived","yes"
"135","yes","young",38.1,136,48,"cool","reduced","pale pink","<3","continuous severe pain","hypermotile","moderate","slight",">1l","increased","distended large intestine",33,4.9,"died","yes"
"277","no","adult",36.9,50,40,"warm","reduced","pale pink","<3","alert no pain","hypomotile","slight","significant","none","absent","distended large intestine",37.5,6.5,"lived","no"
"80","yes","adult",36.4,98,35,"cool","reduced","pale cyanotic","<3","intermittent severe pain","hypomotile","slight","slight","none","absent","distended small intestine",47,6.4,"died","yes"
"359","yes","adult",38.5,90,24,"normal","normal","pale pink","<3","intermittent mild pain","hypomotile","moderate","slight","<1l","absent","distended large intestine",47,79,"lived","yes"
"89","no","adult",38.3,42,10,"normal","normal","normal pink","<3","alert no pain","hypermotile","none","slight","none","absent","distended large intestine",38,61,"lived","no"
"305","yes","adult",38.1,60,40,"cool","normal","normal pink","<3","intermittent mild pain","absent","none","significant",">1l","absent","distended large intestine",42,72,"lived","yes"
"130","yes","adult",37.8,30,12,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",44,7.5,"died","yes"
"82","yes","young",38.1,100,80,"cool","normal","bright pink","<3","intermittent mild pain","absent","none","slight","none","normal","distended large intestine",36,5.7,"lived","yes"
"176","yes","adult",38.2,60,30,"normal","normal","pale pink","<3","intermittent mild pain","hypomotile","none","slight","none","decreased","other",48,66,"lived","yes"
"22","yes","adult",38.6,42,34,"warm","normal","pale cyanotic","<3","depressed","hypomotile","none","slight","none","normal","distended large intestine",48,7.2,"lived","yes"
"67","no","adult",38.4,54,24,"normal","normal","normal pink","<3","alert no pain","hypomotile","none","slight","none","decreased","other",49,7.2,"lived","no"
"299","yes","adult",37.2,40,20,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","normal",36,62,"euthanized","no"
"252","yes","young",38.8,124,36,"cool","normal","bright pink","<3","depressed","hypomotile","severe","none","none","absent","distended small intestine",50,7.6,"died","yes"
"56","yes","adult",38.1,60,24,"cool","normal","normal pink","<3","intermittent mild pain","hypomotile","none","slight","none","absent","distended large intestine",24,6.7,"lived","yes"
"51","yes","adult",37.4,84,36,"normal","normal","pale pink",">=3","intermittent mild pain","hypomotile","slight","slight","none","absent","distended large intestine",44,7.5,"died","yes"
"138","no","adult",38,56,24,"normal","increased","pale pink","<3","alert no pain","hypermotile","none","none","none","normal","normal",42,71,"lived","no"
"33","yes","adult",38.2,64,28,"normal","normal","normal pink","<3","intermittent mild pain","hypermotile","none","slight","none","absent","distended small intestine",49,8.6,"lived","yes"
"165","yes","adult",39.4,120,48,"cool","normal","bright red","<3","intermittent mild pain","hypomotile","moderate","none","none","absent","distended large intestine",56,64,"euthanized","no"
"73","yes","adult",38.1,52,24,"normal","normal","bright red","<3","intermittent severe pain","hypomotile","none","slight","<1l","normal","distended large intestine",54,7.5,"died","yes"
"346","no","adult",37.1,114,40,"cool","normal","pale pink",">=3","depressed","normal","none","slight","none","absent","firm feces in large intestine",32,7.5,"lived","no"
"150","no","adult",38.9,44,14,"cool","normal","normal pink","<3","depressed","hypomotile","slight","slight","none","absent","other",33,64,"lived","no"
"332","yes","adult",39,120,24,"cold","reduced","bright red",">=3","depressed","absent","moderate","slight","<1l","absent","distended large intestine",65,8.2,"lived","no"
"201","yes","adult",38.5,86,24,"normal","normal","pale pink","<3","intermittent severe pain","absent","moderate","slight","none","decreased","distended large intestine",45,7.4,"died","yes"
"155","no","adult",38,48,20,"cool","reduced","pale cyanotic","<3","alert no pain","absent","slight","slight","none","absent","other",49,8.3,"lived","no"
"309","no","adult",37.9,45,36,"cool","reduced","pale pink",">=3","depressed","hypomotile","none","slight","none","decreased","distended large intestine",33,5.7,"lived","yes"
"86","yes","adult",38.1,88,40,"cool","reduced","pale cyanotic",">=3","continuous severe pain","absent","moderate","significant","none","absent","distended large intestine",50,7.7,"died","yes"
"10","yes","adult",38.1,66,12,"cool","reduced","bright red","<3","intermittent mild pain","hypomotile","none","slight","none","increased","distended large intestine",44,6,"lived","yes"
"317","no","adult",37.5,48,24,"cool","normal","normal pink","<3","depressed","hypermotile","none","none","none","decreased","other",43,6,"lived","no"
"230","yes","adult",38.5,104,40,"cool","reduced","normal pink","<3","intermittent severe pain","hypomotile","severe","slight","none","absent","distended large intestine",44,7.5,"lived","yes"
"311","no","adult",38.2,60,24,"cool","normal","pale pink",">=3","intermittent mild pain","hypomotile","slight","significant","<1l","absent","distended small intestine",53,7.5,"lived","no"
