"","gq","gqtypeg","farm","ownershg","value","rent","ftotinc","nfams","ncouples","nmothers","nfathers","momloc","stepmom","momrule","poploc","steppop","poprule","sploc","sprule","famsize","nchild","nchlt5","famunit","eldch","yngch","nsibs","relateg","age","sex","raceg","marst","chborn","school","educrec","schltype","empstatg","labforce","occscore","sei","classwkg","wkswork2","hrswork2","yrlastwk","workedyr","inctot","incwage","incbus","incfarm","incss","incwelfr","incother","poverty","migrat5g","movedin","vetstat","binaryClass"
"2663","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,51882,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",15,12,"0","Head_Householder",41,"Male","White","Married_spouse_present","2__children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",41,68,"Self-employed","50-52_weeks","49-59_hours","Worked_previous_yr","Yes",30000,0,30000,"0",0,0,0,413,"Moved_place_not_reported","2","No_Service","P"
"8156","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,20820,"2","1","2","1","1","0","1","0","0","0","0","0","9","0","0","1",99,99,"2","Child",3,"Female","White","Never_married_single","1_child","No_not_in_school","None_or_preschool","Not_enrolled","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",0,999999,999999,"999999",99999,99999,99999,81,"Same_house","0","No_Service","P"
"778","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,15000,"3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Other_non-relatives",34,"Male","White","Never_married_single","3","No_not_in_school","Grade_1-4","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",8376,0,0,"0",8376,0,0,130,"Same_house","0","No_Service","P"
"5588","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",112500,0,53000,"1","1","1","1","0","0","0","0","0","0","2","1","3","1","0","1",25,25,"0","Head_Householder",51,"Male","White","Married_spouse_present","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",41,68,"Works_for_wages_salary","50-52_weeks","49-59_hours","Worked_previous_yr","Yes",48000,48000,0,"0",0,0,0,501,"Same_house","7","Yes","P"
"634","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,312,6000,"1","0","1","0","1","0","1","0","0","0","0","0","2","0","0","1",99,99,"0","Child",2,"Male","White","Never_married_single","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","Yes",0,999999,999999,"999999",99999,99999,99999,70,"Same_house","0","No_Service","P"
"4364","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",275000,0,50,"1","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1",99,99,"2","Child",6,"Female","White","Never_married_single","No_children","Yes_in_school","Grade_1-4","Public_school","Not_in_labor_force","Yes_in_labor_force",0,0,"Works_for_wages_salary","40-47_weeks","40_hours","Worked_previous_yr","Yes",0,999999,999999,"999999",99999,99999,99999,1,"Moved_place_not_reported","0","No_Service","P"
"3646","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,49000,"1","0","1","0","2","0","1","0","0","0","0","0","2","0","0","1",99,99,"0","Head_Householder",53,"Male","White","Never_married_single","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",35,62,"Self-employed","14-26_weeks","15-29_hours","Worked_previous_yr","Yes",40000,0,40000,"0",0,0,0,501,"Same_house","6","Yes","P"
"1811","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,26000,"3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Partner_friend_visitor",21,"Female","White","Never_married_single","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",36,66,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","Yes",17500,17500,0,"0",0,0,0,271,"Moved_place_not_reported","0","No_Service","P"
"248","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,71000,"1","0","2","0","2","0","2","0","0","0","0","0","3","0","0","1",99,99,"0","Grandchild",5,"Male","White","Never_married_single","3","Yes_in_school","None_or_preschool","Public_school","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",0,999999,999999,"999999",99999,99999,99999,501,"Same_house","0","No_Service","P"
"2037","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,512,42000,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",37,"Male","White","Never_married_single","4","Yes_in_school","4+_years_of_college","Public_school","Employed","Yes_in_labor_force",48,87,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_3-5_yrs_ago","Yes",42000,40000,0,"0",0,0,0,501,"Moved_place_not_reported","2","Yes","P"
"8615","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,14130,"1","1","1","1","1","0","1","2","0","1","0","0","6","0","0","1",99,99,"3","Child",10,"Male","Black_Negro","Never_married_single","4","Yes_in_school","Grade_1-4","Public_school","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","49-59_hours","Worked_more_than_10_yrs_ago","Yes",0,999999,999999,"999999",99999,99999,99999,83,"Moved_place_not_reported","0","No_Service","P"
"7238","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,28000,"1","0","0","1","0","0","0","0","0","0","0","0","3","1","0","1",18,18,"0","Head_Householder",48,"Male","White","Divorced","2__children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",24,19,"Works_for_wages_salary","48-49_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",22000,22000,0,"0",0,0,0,281,"Moved_place_not_reported","2","No_Service","P"
"100","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,312,36000,"1","0","2","0","1","0","1","0","0","0","0","0","7","0","0","1",99,99,"2","Child",2,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Not_enrolled","Employed","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_6-10_yrs_ago","No",0,999999,999999,"999999",99999,99999,99999,187,"Same_house","0","No_Service","P"
"7964","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,26000,"1","1","1","1","2","0","1","1","0","1","0","0","3","0","0","1",99,99,"0","Child",2,"Female","White","Never_married_single","No_children","No_not_in_school","Grade_10","Not_enrolled","Not_in_labor_force","Yes_in_labor_force",0,0,"Works_for_wages_salary","27-39_weeks","40_hours","Worked_previous_yr","Yes",0,999999,999999,"999999",99999,99999,99999,260,"Same_house","0","No_Service","P"
"3664","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",137500,0,21000,"1","1","1","1","0","0","0","0","0","0","2","1","5","2","0","1",14,14,"1","Head_Householder",38,"Male","White","Married_spouse_present","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",22,18,"Works_for_wages_salary","48-49_weeks","40_hours","Never_worked","Yes",5000,5000,0,"0",0,0,0,138,"Moved_place_not_reported","5","No_Service","P"
"519","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,86000,"1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1",99,99,"0","Spouse",53,"Female","White","Married_spouse_present","3","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",19,46,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes",36000,36000,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"5669","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,63014,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",8,7,"0","Head_Householder",34,"Male","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",24,52,"Works_for_wages_salary","50-52_weeks","49-59_hours","Worked_previous_yr","Yes",60114,49114,0,"0",0,0,0,501,"Moved_place_not_reported","1","No_Service","P"
"8598","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,537,12150,"1","0","2","0","1","0","1","0","0","0","0","0","4","0","0","1",99,99,"1","Child",21,"Male","Other_Asian_or_Pacific","Never_married_single","4","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",20,8,"Works_for_wages_salary","50-52_weeks","60+_hours","Never_worked","No",0,0,0,"0",0,0,0,93,"Moved_place_not_reported","0","No_Service","N"
"671","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,625,37345,"1","1","0","0","0","0","0","0","0","0","1","1","2","0","0","1",99,99,"0","Spouse",38,"Female","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",22,51,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",14000,14000,0,"0",0,0,0,450,"Moved_place_not_reported","0","No_Service","P"
"5015","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,48000,"3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Partner_friend_visitor",28,"Male","White","Married_spouse_absent","2__children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",37,78,"Works_for_wages_salary","50-52_weeks","60+_hours","Worked_current_yr","Yes",30000,30000,0,"0",0,0,0,465,"Moved_place_not_reported","0","Yes","P"
"8083","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,65000,"1","1","1","1","0","0","0","0","0","0","1","1","5","3","0","1",19,14,"0","Spouse",54,"Female","Other_Asian_or_Pacific","Married_spouse_present","4","Yes_in_school","1_to_3_years_of_college","Public_school","Employed","Yes_in_labor_force",22,18,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",15000,15000,0,"0",0,0,0,415,"Moved_place_not_reported","0","No_Service","P"
"3414","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,487,35500,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",31,"Female","White","Never_married_single","No_children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",17,26,"Self-employed","1-13_weeks","60+_hours","Worked_current_yr","Yes",35500,0,35000,"0",0,0,0,501,"Moved_place_not_reported","1","No_Service","P"
"3913","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,64200,"1","1","0","0","0","0","0","0","0","0","2","1","3","0","0","1",99,99,"0","Head_Householder",34,"Male","White","Married_spouse_present","No_children","Yes_in_school","1_to_3_years_of_college","Private_school_(19601990)","Employed","Yes_in_labor_force",41,72,"Works_for_wages_salary","40-47_weeks","40_hours","Never_worked","Yes",42200,42000,0,"0",0,0,0,501,"Moved_place_not_reported","2","No_Service","P"
"7434","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",275000,0,52000,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",16,13,"0","Head_Householder",54,"Male","Black_Negro","Married_spouse_present","2__children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",33,48,"Works_for_wages_salary","48-49_weeks","40_hours","Worked_previous_yr","Yes",28000,28000,0,"0",0,0,0,414,"Moved_place_not_reported","2","Yes","P"
"649","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,575,10725,"1","1","1","1","0","0","0","0","0","0","2","1","4","1","0","1",7,7,"0","Head_Householder",31,"Male","White","Married_spouse_present","5","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Unemployed","Yes_in_labor_force",11,11,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",7800,7800,0,"0",0,0,0,83,"Same_house","1","No_Service","P"
"4109","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,25207,"3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Partner_friend_visitor",24,"Male","White","Never_married_single","3","Yes_in_school","1_to_3_years_of_college","Public_school","Employed","Yes_in_labor_force",22,52,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",14798,14798,0,"0",0,0,0,229,"Moved_place_not_reported","0","No_Service","P"
"4778","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,1e+05,"1","1","1","1","2","0","1","1","0","1","0","0","3","0","0","1",99,99,"0","Child",18,"Male","Chinese","Never_married_single","2__children","Yes_in_school","Grade_12","Public_school","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","No",0,0,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"6095","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,1e+05,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",15,11,"0","Head_Householder",46,"Male","Japanese","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",41,68,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes",1e+05,1e+05,0,"0",0,0,0,501,"Moved_place_not_reported","2","No_Service","P"
"4013","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,875,55400,"1","1","0","0","0","0","0","0","0","0","2","2","2","0","0","1",99,99,"0","Head_Householder",41,"Female","White","Married_spouse_present","1_child","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",41,68,"Works_for_wages_salary","14-26_weeks","41-48_hours","Worked_more_than_10_yrs_ago","Yes",19000,19000,0,"0",0,0,0,501,"Same_house","6","No_Service","P"
"5530","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,675,34300,"1","1","0","0","0","0","0","0","0","0","1","1","3","0","0","1",99,99,"0","Spouse",35,"Female","White","Married_spouse_present","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",27,39,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",22300,22000,0,"0",0,0,0,354,"Moved_place_not_reported","0","No_Service","N"
"616","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,337,19600,"1","1","1","1","0","0","0","0","0","0","1","1","4","2","1","1",9,1,"0","Spouse",29,"Female","White","Married_spouse_present","2__children","No_not_in_school","Grade_12","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",19,17,"Works_for_wages_salary","50-52_weeks","15-29_hours","Worked_previous_yr","Yes",10000,10000,0,"0",0,0,0,156,"Same_house","0","No_Service","P"
"6144","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,337,12000,"1","1","1","1","2","0","1","1","0","1","0","0","5","0","0","1",99,99,"2","Child",2,"Female","White","Never_married_single","No_children","Yes_in_school","Grade_5-8","Not_enrolled","Unemployed","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","1-14_hours","Worked_more_than_10_yrs_ago","Yes",0,999999,999999,"999999",99999,99999,99999,81,"Same_house","0","No_Service","P"
"4675","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,88500,"1","1","2","1","0","0","0","0","0","0","2","1","4","1","0","1",21,21,"0","Head_Householder",62,"Male","White","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",48,87,"Works_for_wages_salary","50-52_weeks","41-48_hours","Worked_more_than_10_yrs_ago","Yes",63500,55000,0,"0",0,0,0,501,"Same_house","8","Yes","P"
"2598","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,25500,"3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3",99,99,"0","Other_non-relatives",26,"Male","White","Never_married_single","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",61,93,"Works_for_wages_salary","50-52_weeks","49-59_hours","Worked_previous_yr","Yes",65000,65000,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"5880","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,52000,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",47,"Male","White","Divorced","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",39,81,"Works_for_wages_salary","50-52_weeks","49-59_hours","Worked_previous_yr","Yes",52000,40000,9000,"0",0,0,0,501,"Same_house","5","Yes","P"
"1845","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,625,6824,"1","1","0","0","0","0","0","0","0","0","0","0","6","0","0","1",99,99,"4","Sibling",19,"Female","Chinese","Never_married_single","No_children","Yes_in_school","Grade_11","Public_school","Not_in_labor_force","No_not_in_labor_force",17,13,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_2_yrs_prior","No",0,0,0,"0",0,0,0,39,"Moved_place_not_reported","0","No_Service","P"
"7190","Other_group_quarters","Non-institutional_GQ_(1940_1950_1990)","Non-Farm","Rented",999999,0,999999,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Other_non-relatives",20,"Male","American_Indian","Married_spouse_absent","4","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",11,18,"Works_for_wages_salary","50-52_weeks","60+_hours","Worked_6-10_yrs_ago","Yes",8000,8000,0,"0",0,0,0,0,"Moved_place_not_reported","0","No_Service","N"
"4222","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",112500,0,15000,"2","0","1","0","0","0","0","0","0","0","0","0","5","2","0","1",34,14,"0","Head_Householder",45,"Female","Black_Negro","Separated","3","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",26,72,"Works_for_wages_salary","40-47_weeks","15-29_hours","Worked_6-10_yrs_ago","Yes",15000,15000,0,"0",0,0,0,101,"Moved_place_not_reported","2","No_Service","P"
"3326","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,362,51450,"5","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4",99,99,"0","Partner_friend_visitor",19,"Female","White","Never_married_single","No_children","No_not_in_school","Grade_9","Not_enrolled","Employed","Yes_in_labor_force",16,15,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",13000,13000,0,"0",0,0,0,202,"Moved_place_not_reported","0","No_Service","N"
"3679","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,52598,"1","0","1","0","0","0","0","0","0","0","0","0","3","2","0","1",18,13,"0","Head_Householder",49,"Female","White","Divorced","5","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",39,81,"Self-employed","50-52_weeks","60+_hours","Worked_previous_yr","Yes",47991,2605,44566,"0",0,0,0,501,"Same_house","6","No_Service","P"
"7567","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",162500,0,45102,"1","0","1","0","0","0","0","0","0","0","0","0","2","1","0","1",25,25,"0","Head_Householder",61,"Female","White","Divorced","2__children","No_not_in_school","1_to_3_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",22,51,"Works_for_wages_salary","50-52_weeks","15-29_hours","Worked_2_yrs_prior","Yes",17802,17802,0,"0",0,0,0,501,"Same_house","7","No_Service","N"
"4391","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",187500,0,14343,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",74,"Female","White","Widowed","2__children","No_not_in_school","Grade_5-8","Not_enrolled","Not_in_labor_force","No_not_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","49-59_hours","Never_worked","No",14343,0,0,"0",10054,0,0,241,"Same_house","8","No_Service","P"
"1427","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,1000,36000,"1","1","1","1","0","0","0","0","0","0","2","1","4","2","0","1",15,6,"0","Head_Householder",33,"Male","Black_Negro","Married_spouse_present","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",25,18,"Works_for_wages_salary","50-52_weeks","40_hours","Never_worked","Yes",24000,24000,0,"0",0,0,0,286,"Same_house","5","No_Service","P"
"7299","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",85000,0,55800,"1","1","1","1","0","0","0","0","0","0","2","1","3","1","0","1",32,32,"0","Head_Householder",53,"Male","Black_Negro","Married_spouse_present","No_children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",23,18,"Works_for_wages_salary","50-52_weeks","49-59_hours","Worked_2_yrs_prior","Yes",26000,26000,0,"0",0,0,0,501,"Same_house","5","Yes","P"
"7030","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,512,214716,"2","1","1","1","2","0","1","1","0","1","0","0","6","0","0","1",99,99,"2","Child",11,"Female","White","Never_married_single","2__children","Yes_in_school","Grade_5-8","Public_school","Employed","Yes_in_labor_force",0,0,"Works_for_wages_salary","50-52_weeks","41-48_hours","Worked_more_than_10_yrs_ago","Yes",0,999999,999999,"999999",99999,99999,99999,501,"Moved_place_not_reported","0","No_Service","P"
"4104","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,40000,"1","1","1","1","0","0","0","0","0","0","2","1","5","3","0","1",14,9,"0","Head_Householder",42,"Male","White","Married_spouse_present","3","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",35,68,"Self-employed","40-47_weeks","60+_hours","Worked_2_yrs_prior","Yes",40000,0,40000,"0",0,0,0,270,"Same_house","6","Yes","N"
"4728","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",95000,0,7200,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2",99,99,"0","Partner_friend_visitor",60,"Female","White","Divorced","5","No_not_in_school","Grade_10","Not_enrolled","Employed","Yes_in_labor_force",19,46,"Works_for_wages_salary","40-47_weeks","40_hours","Never_worked","Yes",52328,48000,0,"0",0,0,0,501,"Same_house","0","No_Service","P"
"4943","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",225000,0,56000,"2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","2",99,99,"0","Partner_friend_visitor",49,"Female","Other_Asian_or_Pacific","Never_married_single","No_children","No_not_in_school","4+_years_of_college","Not_enrolled","Employed","Yes_in_labor_force",43,86,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_previous_yr","Yes",44000,44000,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"5360","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Rented",999999,537,30189,"2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Head_Householder",30,"Male","White","Never_married_single","No_children","Yes_in_school","1_to_3_years_of_college","Public_school","Employed","Yes_in_labor_force",23,45,"Works_for_wages_salary","27-39_weeks","30-34_hours","Worked_previous_yr","Yes",30189,15000,0,"0",0,15189,0,468,"Moved_place_not_reported","1","No_Service","P"
"1246","Other_group_quarters","Non-institutional_GQ_(1940_1950_1990)","Non-Farm","Rented",999999,0,999999,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1",99,99,"0","Other_non-relatives",18,"Female","Other_Asian_or_Pacific","Never_married_single","No_children","Yes_in_school","Grade_12","Private_school_(19601990)","Employed","Yes_in_labor_force",25,44,"Works_for_wages_salary","27-39_weeks","1-14_hours","Never_worked","Yes",3024,3000,0,"0",0,0,0,0,"Moved_place_not_reported","0","No_Service","N"
"3337","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",187500,0,74677,"1","2","2","2","2","0","1","1","0","1","0","0","7","0","0","1",99,99,"2","Child",32,"Male","White","Never_married_single","2__children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",20,8,"Works_for_wages_salary","50-52_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",24000,24000,0,"0",0,0,0,364,"Same_house","0","No_Service","P"
"2464","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",95000,0,79000,"1","1","1","1","2","0","1","1","0","1","0","0","6","0","0","1",99,99,"3","Child",3,"Female","Black_Negro","Never_married_single","1_child","Yes_in_school","None_or_preschool","Public_school","Not_in_labor_force","Yes_in_labor_force",0,0,"Works_for_wages_salary","48-49_weeks","30-34_hours","Never_worked","No",0,999999,999999,"999999",99999,99999,99999,477,"Same_house","0","No_Service","P"
"5863","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",4e+05,0,64200,"1","1","1","1","0","0","0","0","0","0","1","2","4","2","0","1",27,25,"0","Spouse",52,"Male","White","Married_spouse_present","2__children","No_not_in_school","Grade_12","Not_enrolled","Employed","Yes_in_labor_force",20,8,"Works_for_wages_salary","40-47_weeks","40_hours","Worked_more_than_10_yrs_ago","Yes",48000,48000,0,"0",0,0,0,501,"Moved_place_not_reported","0","No_Service","P"
"2576","HH_in_1970_definition_but_sampled_as_larger_unit","NA_(household)","Non-Farm","Owned_or_being_bought_(loan)",5000,0,0,"1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1",99,99,"1","Head_Householder",35,"Male","White","Never_married_single","No_children","Yes_in_school","Grade_9","Public_school","Employed","Yes_in_labor_force",20,8,"Works_for_wages_salary","1-13_weeks","49-59_hours","Worked_current_yr","No",0,0,0,"0",0,0,0,1,"Same_house","1","No_Service","P"
