"","Sex","Age","Debt","Married","BankCustomer","EducationLevel","Ethicity","Years_employed","PriorDefault","Employed","CreditScore","Driverslicense","Citizen","Zipcode","Income","class"
"570","b",59.5,2.75,"u","g","w","v",1.75,"t","t",5,"t","g",60,58,"+"
"680","b",19.5,0.29,"u","g","k","v",0.29,"f","f",0,"f","g",280,364,"-"
"351","b",22.17,0.585,"y","p","ff","ff",0,"f","f",0,"f","g",100,0,"-"
"516","a",60.92,5,"u","g","aa","v",4,"t","t",4,"f","g",0,99,"+"
"662","a",23.5,1.5,"u","g","w","v",0.875,"f","f",0,"t","g",160,0,"-"
"96","b",23,0.625,"y","p","aa","v",0.125,"t","f",0,"f","g",180,1,"-"
"267","a",32,6,"u","g","d","v",1.25,"f","f",0,"f","g",272,0,"-"
"401","b",28.92,0.375,"u","g","c","v",0.29,"f","f",0,"f","g",220,140,"-"
"686","a",22.67,0.75,"u","g","c","v",2,"f","t",2,"t","g",200,394,"-"
"34","a",22.58,10.75,"u","g","q","v",0.415,"t","t",5,"t","g",0,560,"+"
"241","b",48.25,25.085,"u","g","w","v",1.75,"t","t",3,"f","g",120,14,"+"
"206","a",71.58,0,"u","g","ff","ff",0,"f","f",0,"f","p",106.682579288026,0,"+"
"166","b",19.33,9.5,"u","g","q","v",1,"t","f",0,"t","g",60,400,"+"
"572","b",21.92,0.54,"y","p","x","v",0.04,"t","t",1,"t","g",840,59,"+"
"216","b",41.17,4.04,"u","g","cc","h",7,"t","t",8,"f","g",320,0,"+"
"0","b",30.83,0,"u","g","w","v",1.25,"t","t",1,"f","g",202,0,"+"
"407","a",19.58,0.665,"y","p","c","v",1,"f","t",1,"f","g",2000,2,"-"
"469","b",16.33,4.085,"u","g","i","h",0.415,"f","f",0,"t","g",120,0,"-"
"661","b",29.83,3.5,"u","g","c","v",0.165,"f","f",0,"f","g",216,0,"-"
"350","a",26.17,2,"u","g","j","j",0,"f","f",0,"t","g",276,1,"-"
"247","a",19.67,0.21,"u","g","q","h",0.29,"t","t",11,"f","g",80,99,"+"
"79","b",21.5,9.75,"u","g","c","v",0.25,"t","f",0,"f","g",140,0,"-"
"521","a",30,5.29,"u","g","e","dd",2.25,"t","t",5,"t","g",99,500,"+"
"485","b",74.83,19,"y","p","ff","ff",0.04,"f","t",2,"f","g",0,351,"-"
"175","b",27,1.5,"y","p","w","v",0.375,"t","f",0,"t","g",260,1065,"+"
"250","b",40.25,21.5,"u","g","e","z",20,"t","t",11,"f","g",0,1200,"+"
"11","b",29.92,1.835,"u","g","c","h",4.335,"t","f",0,"f","g",260,200,"+"
"636","b",40.92,0.5,"y","p","m","v",0.5,"f","f",0,"t","g",130,0,"-"
"579","b",39.08,6,"u","g","m","v",1.29,"t","t",5,"t","g",108,1097,"+"
"388","b",26.67,14.585,"u","g","i","bb",0,"f","f",0,"t","g",178,0,"-"
"459","b",25.67,0.29,"y","p","c","v",1.5,"f","f",0,"t","g",160,0,"-"
"7","a",22.92,11.585,"u","g","cc","v",0.04,"t","f",0,"f","g",80,1349,"+"
"506","a",18.92,9,"u","g","aa","v",0.75,"t","t",2,"f","g",88,591,"+"
"577","b",25.17,6,"u","g","c","v",1,"t","t",3,"f","g",0,0,"+"
"642","b",31.58,0.75,"y","p","aa","v",3.5,"f","f",0,"t","g",320,0,"-"
"139","a",26.92,13.5,"u","g","q","h",5,"t","t",2,"f","g",0,5000,"+"
"29","b",42.08,1.04,"u","g","w","v",5,"t","t",6,"t","g",500,10000,"+"
"8","b",54.42,0.5,"y","p","k","h",3.96,"t","f",0,"f","g",180,314,"+"
"193","b",22.67,1.585,"y","p","w","v",3.085,"t","t",6,"f","g",80,0,"+"
"369","b",21.42,0.75,"y","p","r","n",0.75,"f","f",0,"t","g",132,2,"-"
"550","b",76.75,22.29,"u","g","e","z",12.75,"t","t",1,"t","g",0,109,"+"
"42","b",29.67,1.415,"u","g","w","h",0.75,"t","t",1,"f","g",240,100,"+"
"277","a",18.17,10,"y","p","q","h",0.165,"f","f",0,"f","g",340,0,"-"
"651","a",15.83,7.625,"u","g","q","v",0.125,"f","t",1,"t","g",0,160,"-"
"101","b",35.25,16.5,"y","p","c","v",4,"t","f",0,"f","g",80,0,"-"
"602","b",29.83,1.25,"y","p","k","v",0.25,"f","f",0,"f","g",224,0,"-"
"117","b",52.5,6.5,"u","g","k","v",6.29,"t","t",15,"f","g",0,11202,"+"
"580","b",31.67,0.83,"u","g","x","v",1.335,"t","t",8,"t","g",303,3290,"+"
"322","a",33.67,0.375,"u","g","cc","v",0.375,"f","f",0,"f","g",300,44,"+"
"321","a",18.08,0.375,"l","gg","cc","ff",10,"f","f",0,"t","s",300,0,"+"
"210","b",39.33,5.875,"u","g","cc","h",10,"t","t",14,"t","g",399,0,"+"
"428","b",49.17,2.29,"u","g","ff","ff",0.29,"f","f",0,"f","g",200,3,"-"
"104","b",27.83,4,"y","p","i","h",5.75,"t","t",2,"t","g",75,0,"-"
"425","b",24.58,1.25,"u","g","c","v",0.25,"f","f",0,"f","g",110,0,"-"
"61","b",31.67,16.165,"u","g","d","v",3,"t","t",9,"f","g",250,730,"+"
"406","a",40.33,8.125,"y","p","k","v",0.165,"f","t",2,"f","g",166.118888888889,18,"-"
"656","b",25.67,3.25,"u","g","c","h",2.29,"f","t",1,"t","g",416,21,"-"
"598","a",20.08,0.125,"u","g","q","v",1,"f","t",1,"f","g",240,768,"+"
"69","b",35.17,25.125,"u","g","x","h",1.625,"t","t",1,"t","g",515,500,"+"
"357","a",19.5,0.165,"u","g","q","v",0.04,"f","f",0,"t","g",380,0,"-"
"586","b",64.08,20,"u","g","x","h",17.5,"t","t",9,"t","g",0,1000,"+"
"534","b",31.83,2.5,"u","g","aa","v",7.5,"t","f",0,"t","g",523,0,"-"
"39","b",54.58,9.415,"u","g","ff","ff",14.415,"t","t",11,"t","g",30,300,"+"
"387","b",21.17,0,"u","g","c","v",0.5,"f","f",0,"t","s",0,0,"-"
"269","b",18,0.165,"u","g","q","n",0.21,"f","f",0,"f","g",200,40,"+"
"461","b",24.08,0.875,"u","g","m","v",0.085,"f","t",4,"f","g",254,1950,"-"
"261","a",52.17,0,"y","p","ff","ff",0,"f","f",0,"f","g",0,0,"-"
"354","b",36.67,2,"u","g","i","v",0.25,"f","f",0,"t","g",221,0,"-"
"199","b",22.58,10.04,"u","g","x","v",0.04,"t","t",9,"f","g",60,396,"+"
"510","b",13.75,4,"y","p","w","v",1.75,"t","t",2,"t","g",120,1000,"+"
"279","b",16.25,0.835,"u","g","m","v",0.085,"t","f",0,"f","s",200,0,"-"
"628","b",29.25,13,"u","g","d","h",0.5,"f","f",0,"f","g",228,0,"-"
"292","b",25.42,0.54,"u","g","w","v",0.165,"f","t",1,"f","g",272,444,"-"
"13","b",48.08,6.04,"u","g","k","v",0.04,"f","f",0,"f","g",0,2690,"+"
"607","b",32.33,3.5,"u","g","k","v",0.5,"f","f",0,"t","g",232,0,"-"
"76","b",34.08,6.5,"u","g","aa","v",0.125,"t","f",0,"t","g",443,0,"-"
"677","b",19.42,7.25,"u","g","m","v",0.04,"f","t",1,"f","g",100,1,"-"
"284","b",23.25,12.625,"u","g","c","v",0.125,"f","t",2,"f","g",0,5552,"-"
"415","a",22.25,1.25,"y","p","ff","ff",3.25,"f","f",0,"f","g",280,0,"-"
"604","b",23.42,0.585,"u","g","c","h",0.085,"t","f",0,"f","g",180,0,"-"
"236","b",26.17,0.25,"u","g","i","bb",0,"t","f",0,"t","g",0,0,"+"
"631","a",27.25,0.29,"u","g","m","h",0.125,"f","t",1,"t","g",272,108,"-"
"222","a",17.58,9,"u","g","aa","v",1.375,"t","f",0,"t","g",0,0,"+"
"460","a",24.5,2.415,"y","p","c","v",0,"f","f",0,"f","g",120,0,"-"
"58","b",35.17,4.5,"u","g","x","h",5.75,"f","f",0,"t","s",711,0,"+"
"246","b",45,8.5,"u","g","cc","h",14,"t","t",1,"t","g",88,2000,"+"
"437","a",53.33,0.165,"u","g","ff","ff",0,"f","f",0,"t","s",62,27,"-"
"122","a",24.75,12.5,"u","g","aa","v",1.5,"t","t",12,"t","g",120,567,"+"
"531","a",24.58,0.67,"u","g","aa","h",1.75,"t","f",0,"f","g",400,0,"-"
"310","a",24.83,4.5,"u","g","w","v",1,"f","f",0,"t","g",360,6,"-"
"445","a",30.283643030303,11.25,"u","g","ff","ff",0,"f","f",0,"f","g",98.135,5200,"-"
"23","a",27.42,14.5,"u","g","x","h",3.085,"t","t",1,"f","g",120,11,"+"
"220","a",50.08,12.54,"u","g","aa","v",2.29,"t","t",3,"t","g",156,0,"+"
"251","b",41.42,5,"u","g","q","h",5,"t","t",6,"t","g",470,0,"+"
"169","b",37.5,1.125,"y","p","d","v",1.5,"f","f",0,"t","g",431,0,"+"
"456","b",34.58,0,"u","g","i","bb",0,"f","f",0,"f","p",207.444853479853,0,"-"
"419","a",26.58,2.54,"y","p","ff","ff",0,"f","f",0,"t","g",180,60,"-"
"390","b",15.17,7,"u","g","e","v",1,"f","f",0,"f","g",600,0,"-"
"608","b",33.1265416666667,0.04,"y","p","d","v",4.25,"f","f",0,"t","g",460,0,"-"
"173","a",49.83,13.585,"u","g","k","h",8.5,"t","f",0,"t","g",0,0,"+"
"578","b",39.17,1.625,"u","g","c","v",1.5,"t","t",10,"f","g",186,4700,"+"
"346","b",32.25,1.5,"u","g","c","v",0.25,"f","f",0,"t","g",372,122,"-"
"343","b",33.75,2.75,"u","g","i","bb",0,"f","f",0,"f","g",180,0,"-"
"28","b",57.42,8.5,"u","g","e","h",7,"t","t",3,"f","g",0,0,"+"
"630","a",22.92,1.25,"u","g","q","v",0.25,"f","f",0,"t","g",120,809,"-"
"331","a",33.25,2.5,"y","p","c","v",2.5,"f","f",0,"t","g",0,2,"-"
"344","b",38.92,1.75,"u","g","k","v",0.5,"f","f",0,"t","g",300,2,"-"
"508","a",30.67,12,"u","g","c","v",2,"t","t",1,"f","g",220,19,"+"
"649","a",35.17,3.75,"u","g","ff","ff",0,"f","t",6,"f","g",0,200,"-"
"475","b",26.75,2,"u","g","d","v",0.75,"f","f",0,"t","g",80,0,"-"
"381","a",22.67,7,"u","g","c","v",0.165,"f","f",0,"f","g",160,0,"-"
"124","a",23.5,9,"u","g","q","v",8.5,"t","t",5,"t","g",120,0,"+"
"306","b",23.5,2.75,"u","g","ff","ff",4.5,"f","f",0,"f","g",160,25,"-"
"355","a",16,0.165,"u","g","aa","v",1,"f","t",2,"t","g",320,1,"-"
"143","b",22.33,11,"u","g","w","v",2,"t","t",1,"f","g",80,278,"+"
"148","a",30.5,6.5,"u","g","c","bb",4,"t","t",7,"t","g",0,3065,"+"
"133","b",36.25,5,"u","g","c","bb",2.5,"t","t",6,"f","g",0,367,"+"
"462","b",21.92,0.5,"u","g","c","v",0.125,"f","f",0,"f","g",360,0,"-"
"594","b",38.67,0.21,"u","g","k","v",0.085,"t","f",0,"t","g",280,0,"+"
"20","b",25,11.25,"u","g","c","v",2.5,"t","t",17,"f","g",200,1208,"+"
"429","b",33.58,0.335,"y","p","cc","v",0.085,"f","f",0,"f","g",180,0,"-"
"93","b",52.33,1.375,"y","p","c","h",9.46,"t","f",0,"t","g",200,100,"-"
"436","b",19.58,0.585,"u","g","ff","ff",0,"f","t",3,"f","g",350,769,"-"
"507","a",24.75,3,"u","g","q","h",1.835,"t","t",19,"f","g",0,500,"+"
"611","b",27.58,3.25,"y","p","q","h",5.085,"f","t",2,"t","g",369,1,"-"
"575","b",32.25,0.165,"y","p","c","h",3.25,"t","t",1,"t","g",432,8000,"+"
"470","a",21.92,11.665,"u","g","k","h",0.085,"f","f",0,"f","g",320,5,"-"
"123","a",44.17,6.665,"u","g","q","v",7.375,"t","t",3,"t","g",0,0,"+"
"416","b",22.5,0.125,"y","p","k","v",0.125,"f","f",0,"f","g",200,70,"-"
"648","b",25.58,0.335,"u","g","k","h",3.5,"f","f",0,"t","g",340,0,"-"
"200","a",24.08,0.5,"u","g","q","h",1.25,"t","t",1,"f","g",0,678,"+"
"230","b",25.17,3.5,"u","g","cc","v",0.625,"t","t",7,"f","g",0,7059,"+"
"336","b",47.33,6.5,"u","g","c","v",1,"f","f",0,"t","g",0,228,"-"
"612","b",22,0.79,"u","g","w","v",0.29,"f","t",1,"f","g",420,283,"-"
"444","a",17.67,0,"y","p","j","ff",0,"f","f",0,"f","g",86,0,"-"
"72","a",38.58,5,"u","g","cc","v",13.5,"t","f",0,"t","g",980,0,"-"
"476","b",23.58,0.835,"u","g","i","h",0.085,"f","f",0,"t","g",220,5,"-"
"536","a",24.92,1.25,"u","g","ff","ff",0,"t","f",0,"f","g",80,0,"-"
"465","a",27.58,3,"u","g","m","v",2.79,"f","t",1,"t","g",280,10,"-"
"501","b",39,5,"u","g","cc","v",3.5,"t","t",10,"t","g",0,0,"+"
"599","b",20.5,2.415,"u","g","c","v",2,"t","t",11,"t","g",200,3000,"+"
"384","b",22.08,11.46,"u","g","k","v",1.585,"f","f",0,"t","g",100,1212,"-"
"377","b",20.67,0.835,"y","p","c","v",2,"f","f",0,"t","s",240,0,"-"
"273","b",38.25,10.125,"y","p","k","v",0.125,"f","f",0,"f","g",160,0,"-"
"530","a",25.33,2.085,"u","g","c","h",2.75,"t","f",0,"t","g",360,1,"-"
"397","a",23.58,0.585,"y","p","ff","ff",0.125,"f","f",0,"f","g",120,87,"-"
"558","b",51.42,0.04,"u","g","x","h",0.04,"t","f",0,"f","g",0,3000,"+"
"335","b",27.67,0.75,"u","g","q","h",0.165,"f","f",0,"t","g",220,251,"-"
"400","b",20.75,5.085,"y","p","j","v",0.29,"f","f",0,"f","g",140,184,"-"
"535","a",33.92,1.585,"y","p","ff","ff",0,"t","f",0,"f","g",320,0,"-"
"625","b",23.75,12,"u","g","c","v",2.085,"f","f",0,"f","s",80,0,"-"
"240","b",20.5,10,"y","p","c","v",2.5,"t","f",0,"f","s",40,0,"+"
"125","b",34.92,5,"u","g","x","h",7.5,"t","t",6,"t","g",0,1000,"+"
"629","a",19.58,0.665,"u","g","w","v",1.665,"f","f",0,"f","g",220,5,"-"
"592","b",23.17,0,"u","g","m","v",0,"f","f",0,"f","p",121.313841269841,0,"+"
"288","b",18.83,0.415,"y","p","c","v",0.165,"f","t",1,"f","g",200,1,"-"
"134","b",32.67,5.5,"u","g","q","h",5.5,"t","t",12,"t","g",408,1000,"+"
"657","a",38.92,1.665,"u","g","aa","v",0.25,"f","f",0,"f","g",0,390,"-"
"171","b",41.33,0,"u","g","c","bb",15,"t","f",0,"f","g",0,0,"+"
"237","b",21.33,7.5,"u","g","aa","v",1.415,"t","t",1,"f","g",80,9800,"+"
"185","b",48.75,8.5,"u","g","c","h",12.5,"t","t",9,"f","g",181,1655,"+"
"1","a",58.67,4.46,"u","g","q","h",3.04,"t","t",6,"f","g",43,560,"+"
"646","a",20.83,8.5,"u","g","c","v",0.165,"f","f",0,"f","g",0,351,"-"
"179","b",20.17,8.17,"u","g","aa","v",1.96,"t","t",14,"f","g",60,158,"+"
"56","b",23.17,0,"u","g","cc","v",0.085,"t","f",0,"f","g",0,0,"+"
"676","a",30.58,10.665,"u","g","q","h",0.085,"f","t",12,"t","g",129,3,"-"
"333","a",25.25,12.5,"u","g","d","v",1,"f","f",0,"t","g",180,1062,"-"
"549","b",48.33,12,"u","g","m","v",16,"t","f",0,"f","s",110,0,"+"
"71","b",34.83,4,"u","g","d","bb",12.5,"t","f",0,"t","g",224.310105263158,0,"-"
"685","b",21.08,10.085,"y","p","e","h",1.25,"f","f",0,"f","g",260,0,"-"
"162","b",25.08,1.71,"u","g","x","v",1.665,"t","t",1,"t","g",395,20,"+"
"239","b",38.17,10.125,"u","g","x","v",2.5,"t","t",6,"f","g",520,196,"+"
"533","b",40.92,0.835,"u","g","ff","ff",0,"t","f",0,"f","g",130,1,"-"
"31","b",42,9.79,"u","g","x","h",7.96,"t","t",8,"f","g",0,0,"+"
"498","b",25.75,0.5,"u","g","c","v",1.46,"t","t",5,"t","g",312,0,"+"
"365","b",42.83,1.25,"u","g","m","v",13.875,"f","t",1,"t","g",352,112,"-"
"266","b",18.33,1.21,"y","p","e","dd",0,"f","f",0,"f","g",100,0,"-"
"409","b",17.08,0.25,"u","g","q","v",0.335,"f","t",4,"f","g",160,8,"-"
"571","b",21,3,"y","p","d","v",1.085,"t","t",8,"t","g",160,1,"+"
"323","b",48.58,0.205,"y","p","k","v",0.25,"t","t",11,"f","g",380,2732,"+"
"637","b",19.5,9.585,"u","g","aa","v",0.79,"f","f",0,"f","g",80,350,"-"
"504","a",28.75,3.75,"u","g","c","v",1.085,"t","t",1,"t","g",371,0,"+"
"73","b",44.25,0.5,"u","g","m","v",10.75,"t","f",0,"f","s",400,0,"-"
"426","a",27.67,2.04,"u","g","w","v",0.25,"f","f",0,"t","g",180,50,"-"
"272","b",18.08,6.75,"y","p","m","v",0.04,"f","f",0,"f","g",140,0,"-"
"74","b",44.83,7,"y","p","c","v",1.625,"f","f",0,"f","g",160,2,"-"
"566","b",23.08,11.5,"u","g","w","h",2.125,"t","t",11,"t","g",290,284,"+"
"87","b",25.67,2.21,"y","p","aa","v",4,"t","f",0,"f","g",188,0,"-"
"130","b",67.75,5.5,"u","g","e","z",13,"t","t",1,"t","g",0,0,"+"
"565","a",20.83,3,"u","g","aa","v",0.04,"t","f",0,"f","g",100,0,"+"
"21","b",23.25,1,"u","g","c","v",0.835,"t","f",0,"f","s",300,0,"+"
"332","b",34.08,2.5,"u","g","c","v",1,"f","f",0,"f","g",460,16,"-"
"159","b",34.08,0.08,"y","p","m","bb",0.04,"t","t",1,"t","g",280,2000,"+"
"150","a",46.67,0.46,"u","g","cc","h",0.415,"t","t",11,"t","g",440,6,"+"
"318","b",19.17,0,"y","p","m","bb",0,"f","f",0,"t","s",500,1,"+"
"360","a",30.25,5.5,"u","g","k","v",5.5,"f","f",0,"t","s",100,0,"-"
"27","b",56.58,18.5,"u","g","d","bb",15,"t","t",17,"t","g",0,0,"+"
"135","b",48.58,6.5,"u","g","q","h",6,"t","f",0,"t","g",350,0,"+"
"408","b",16,3.125,"u","g","w","v",0.085,"f","t",1,"f","g",0,6,"-"
"252","a",17.83,11,"u","g","x","h",1,"t","t",11,"f","g",0,3000,"+"
"17","a",23.25,5.875,"u","g","q","v",3.17,"t","t",10,"f","g",120,245,"+"
"105","b",54.83,15.5,"u","g","e","z",0,"t","t",20,"f","g",152,130,"-"
"330","b",20.42,0,"u","g","m","v",0,"f","f",0,"f","p",128.089396825397,0,"-"
"639","b",35.58,0.75,"u","g","k","v",1.5,"f","f",0,"t","g",231,0,"-"
"375","a",20.83,0.5,"y","p","e","dd",1,"f","f",0,"f","g",260,0,"-"
"442","b",30.58,2.71,"y","p","m","v",0.125,"f","f",0,"t","s",80,0,"-"
"137","b",33.58,2.75,"u","g","m","v",4.25,"t","t",6,"f","g",204,0,"+"
"378","b",34.42,1.335,"u","g","i","bb",0.125,"f","f",0,"t","g",440,4500,"-"
"364","b",24.42,2,"u","g","e","dd",0.165,"f","t",2,"f","g",320,1300,"-"
"670","b",47.17,5.835,"u","g","w","v",5.5,"f","f",0,"f","g",465,150,"-"
"653","b",21.5,11.5,"u","g","i","v",0.5,"t","f",0,"t","g",100,68,"-"
"22","a",47.75,8,"u","g","c","v",7.875,"t","t",6,"t","g",0,1260,"+"
"561","b",26.75,1.125,"u","g","x","h",1.25,"t","f",0,"f","g",0,5298,"+"
"243","a",18.75,7.5,"u","g","q","v",2.71,"t","t",5,"f","g",113.924722538356,26726,"+"
"274","b",30.67,2.5,"u","g","cc","h",2.25,"f","f",0,"t","s",340,0,"-"
"643","a",52.5,7,"u","g","aa","h",3,"f","f",0,"f","g",0,0,"-"
"291","a",18.25,10,"u","g","w","v",1,"f","t",1,"f","g",120,1,"-"
"106","b",28.75,1.165,"u","g","k","v",0.5,"t","f",0,"f","s",280,0,"-"
"97","b",29.8284808143939,0.5,"u","g","c","bb",0.835,"t","f",0,"t","s",320,0,"-"
"453","b",29.75,0.665,"u","g","w","v",0.25,"f","f",0,"t","g",300,0,"-"
"248","b",24.5,12.75,"u","g","c","bb",4.75,"t","t",2,"f","g",73,444,"+"
"188","a",28.67,1.04,"u","g","c","v",2.5,"t","t",5,"t","g",300,1430,"+"
"540","b",19.42,1.5,"y","p","cc","v",2,"t","f",0,"t","g",100,20,"-"
"198","b",27.58,2.04,"y","p","aa","v",2,"t","t",3,"t","g",370,560,"+"
"3","b",27.83,1.54,"u","g","w","v",3.75,"t","t",5,"t","g",100,3,"+"
"595","b",25.75,0.75,"u","g","c","bb",0.25,"t","f",0,"f","g",349,23,"+"
"541","b",42.75,3,"u","g","i","bb",1,"t","f",0,"f","g",0,200,"-"
"196","b",33.17,3.165,"y","p","x","v",3.165,"t","t",3,"t","g",380,0,"+"
"223","a",18.83,9.54,"u","g","aa","v",0.085,"t","f",0,"f","g",100,0,"+"
"215","b",48.17,3.5,"u","g","aa","v",3.5,"t","f",0,"f","s",230,0,"+"
"477","b",39.17,2.5,"y","p","i","h",10,"f","f",0,"t","s",200,0,"-"
"95","a",28.58,3.54,"u","g","i","bb",0.5,"t","f",0,"t","g",171,0,"-"
"232","b",33.5,1.75,"u","g","x","h",4.5,"t","t",4,"t","g",253,857,"+"
"164","a",60.58,16.5,"u","g","q","v",11,"t","f",0,"t","g",21,10561,"+"
"417","b",23.58,1.79,"u","g","c","v",0.54,"f","f",0,"t","g",136,1,"-"
"37","a",23,11.75,"u","g","x","h",0.5,"t","t",2,"t","g",300,551,"+"
"523","a",22.5,8.5,"u","g","q","v",1.75,"t","t",10,"f","g",80,990,"-"
"666","a",21.75,11.75,"u","g","c","v",0.25,"f","f",0,"t","g",180,0,"-"
"298","b",16.33,2.75,"u","g","aa","v",0.665,"f","t",1,"f","g",80,21,"-"
"229","b",22.08,11,"u","g","cc","v",0.665,"t","f",0,"f","g",100,0,"+"
"112","b",24.58,12.5,"u","g","w","v",0.875,"t","f",0,"t","g",260,0,"-"
"113","a",33.75,0.75,"u","g","k","bb",1,"t","t",3,"t","g",212,0,"-"
"548","b",33.17,1,"u","g","x","v",0.75,"t","t",7,"t","g",340,4071,"+"
"620","b",22.17,2.25,"u","g","i","v",0.125,"f","f",0,"f","g",160,10,"-"
"414","b",22.25,0.46,"u","g","k","v",0.125,"f","f",0,"t","g",280,55,"-"
"563","b",24.42,12.335,"u","g","q","h",1.585,"t","f",0,"t","g",120,0,"+"
"119","a",20.75,10.335,"u","g","cc","h",0.335,"t","t",1,"t","g",80,50,"+"
"268","b",59.67,1.54,"u","g","q","v",0.125,"t","f",0,"t","g",260,0,"+"
"440","b",23.08,0,"u","g","k","v",1,"f","t",11,"f","s",0,0,"-"
